"","SRF.NS.Open","SRF.NS.High","SRF.NS.Low","SRF.NS.Close","SRF.NS.Volume","SRF.NS.Adjusted"
"157",385.600006103516,395,382.190002441406,392.230010986328,3001075,383.417755126953
"158",392.399993896484,400,391,398.130004882812,2186565,389.185150146484
"159",399.799987792969,402.029998779297,392.390014648438,393.809997558594,1214675,384.962219238281
"160",394,396.75,385.220001220703,392.670013427734,2023920,383.847869873047
"161",393.5,395.690002441406,388.010009765625,391.070007324219,1521575,382.283782958984
"162",388,399.019989013672,388,394.640014648438,1648545,385.773681640625
"163",394,398.790008544922,391.029998779297,394.459991455078,859090,385.597564697266
"164",394.380004882812,396.980010986328,388.570007324219,389.829986572266,728745,381.071624755859
"165",390.959991455078,413.799987792969,388.230010986328,410.619995117188,3201445,401.39453125
"166",411.980010986328,416.899993896484,406.600006103516,408.109985351562,2468005,398.940887451172
"167",405.010009765625,412.959991455078,396.429992675781,404.480010986328,2406035,395.392486572266
"168",406.200012207031,411.799987792969,399.230010986328,400.579986572266,934955,391.580108642578
"169",403.200012207031,403.600006103516,387.049987792969,389.279998779297,1142485,380.533996582031
"170",390.799987792969,393.769989013672,373.730010986328,385.019989013672,1844365,376.369689941406
"171",388.799987792969,400.799987792969,381.160003662109,397.640014648438,2246600,388.706146240234
"172",398,408.399993896484,391.600006103516,403.140014648438,2153345,394.082611083984
"173",400,402.970001220703,387.320007324219,390.600006103516,1163000,381.824340820312
"174",389.010009765625,398.399993896484,386.720001220703,388.339996337891,2080890,379.615142822266
"175",389.799987792969,402.440002441406,380.570007324219,397.660003662109,2202275,388.725738525391
"176",399.739990234375,407,398.109985351562,401.649993896484,2347770,392.626129150391
"177",398.709991455078,411,394.019989013672,405.029998779297,2569305,395.930084228516
"178",403,412,396.269989013672,398.540008544922,2412470,389.585906982422
"179",401.519989013672,405.420013427734,394.070007324219,396.510009765625,1934280,387.601593017578
"180",399.480010986328,405.839996337891,337.040008544922,386.470001220703,3004845,377.787109375
"181",388,390.769989013672,374.799987792969,380.959991455078,1747725,372.400909423828
"182",380.209991455078,385.790008544922,372.369995117188,379.940002441406,2158610,371.403869628906
"183",383.100006103516,386.799987792969,376.220001220703,377.779998779297,1022305,369.292388916016
"184",379.079986572266,381.190002441406,355.429992675781,361.910003662109,1749045,353.778900146484
"185",366,368,339,342.220001220703,1823730,334.531311035156
"186",343.929992675781,347,323,343.25,2206755,335.538208007812
"187",338.049987792969,356.950012207031,334,352.619995117188,2517940,344.697662353516
"188",347.019989013672,353.790008544922,339.459991455078,349.820007324219,2293150,341.960540771484
"189",348.989990234375,349.959991455078,336,340.019989013672,1276100,332.380706787109
"190",339.399993896484,343.989990234375,323.329986572266,332.549987792969,2437405,325.078521728516
"191",333,344.380004882812,329.239990234375,339.839996337891,1857130,332.204742431641
"192",341.100006103516,364.010009765625,339.209991455078,361.660003662109,2015685,353.534545898438
"193",353.600006103516,357.549987792969,341,345.410003662109,1877400,337.649627685547
"194",345.799987792969,362.600006103516,345,354.619995117188,2846970,346.652740478516
"195",354.799987792969,356.170013427734,347.600006103516,352.459991455078,1411675,344.541290283203
"196",354,359.799987792969,352.190002441406,355.200012207031,1380385,347.219696044922
"197",359.220001220703,373.399993896484,348.739990234375,350.829986572266,3869885,342.947845458984
"198",348.880004882812,355.320007324219,342,344.700012207031,1100805,336.955596923828
"199",348.130004882812,352.920013427734,338.019989013672,340.820007324219,1315470,333.162719726562
"200",340,350.399993896484,338.049987792969,341.720001220703,1957445,334.042510986328
"201",345.399993896484,353.769989013672,336.880004882812,343.380004882812,1994770,335.665252685547
"202",343,351,338.299987792969,348.119995117188,1118705,340.298797607422
"203",349.420013427734,360,343.209991455078,358.309997558594,1879760,350.259765625
"204",358.399993896484,373.420013427734,356.380004882812,370.980010986328,2332140,362.645141601562
