"","ASTRAL.NS.Open","ASTRAL.NS.High","ASTRAL.NS.Low","ASTRAL.NS.Close","ASTRAL.NS.Volume","ASTRAL.NS.Adjusted"
"492",652.500183105469,658.293884277344,644.062683105469,646.368896484375,68074,641.278869628906
"493",646.368896484375,646.875183105469,635.625183105469,644.203308105469,89082,639.130310058594
"494",649.687683105469,652.500183105469,641.840759277344,645.131408691406,120376,640.051086425781
"495",641.250183105469,649.518920898438,638.437683105469,641.081420898438,50821,636.033081054688
"496",643.387634277344,647.493896484375,632.812683105469,634.753295898438,293642,629.754760742188
"497",638.493896484375,640.687683105469,627.834533691406,634.022033691406,96307,629.029174804688
"498",638.325134277344,638.381408691406,622.743896484375,630.590759277344,128542,625.624877929688
"499",634.050170898438,640.068908691406,627.187683105469,633.684509277344,105779,628.694396972656
"500",638.437683105469,641.362670898438,632.812683105469,637.931396484375,128812,632.907897949219
"501",638.606384277344,640.125183105469,624.937683105469,635.118896484375,218984,630.117492675781
"502",630.000183105469,633.572021484375,624.487670898438,629.606384277344,387946,624.648376464844
"503",634.443908691406,634.443908691406,618.750183105469,620.043884277344,157032,615.161193847656
"504",623.784545898438,623.981384277344,608.962646484375,615.543884277344,205386,610.696655273438
"505",618.750183105469,622.097045898438,605.278259277344,612.000183105469,126392,607.180847167969
"506",619.312683105469,623.531433105469,613.743896484375,618.412658691406,140801,613.542785644531
"507",621.562683105469,626.681396484375,614.081420898438,621.872009277344,254741,616.974914550781
"508",627.131408691406,655.312683105469,622.912658691406,645.975158691406,435576,640.888305664062
"509",649.687683105469,703.125183105469,649.687683105469,691.509521484375,754604,686.064086914062
"510",687.375183105469,700.312683105469,661.5283203125,668.165771484375,249358,662.904113769531
"511",672.9189453125,678.375183105469,667.125183105469,676.631408691406,141020,671.303100585938
"512",676.743896484375,700.312683105469,672.187683105469,688.134521484375,249279,682.715637207031
"513",644.428283691406,670.978271484375,631.125183105469,656.212646484375,80520,651.045104980469
