,HAL.NS.Open,HAL.NS.High,HAL.NS.Low,HAL.NS.Close,HAL.NS.Volume,HAL.NS.Adjusted
808,552.25,578.5,551,573.5250244,2454964,538.8528442
809,575.5,577.5,555.2999878,559.2750244,1019836,525.4643555
810,562.4500122,564.9000244,552.1749878,555.75,705288,522.1524048
811,557.25,561.9500122,545,548.2249756,569030,515.0822754
812,551.8499756,567.25,548.75,553.3499756,900610,519.897583
813,556.9000244,559.2249756,545,547.6749878,373744,514.5656128
814,552.5,559,536,537.375,680236,504.8882446
815,537.4000244,545.5,534,541.0499878,390422,508.3411255
816,541.0499878,544.4749756,526.9749756,533.375,288832,501.1300964
817,537.5,576.5,536.4249878,553.6500244,3077192,520.1793823
818,560,575,549,551.5250244,1237734,518.1828613
819,552.75,563.6500244,548.8499756,552.4249878,994962,519.0285034
820,555.5,560,543,550.0499878,474812,516.7970581
