"","HCLTECH.NS.Open","HCLTECH.NS.High","HCLTECH.NS.Low","HCLTECH.NS.Close","HCLTECH.NS.Volume","HCLTECH.NS.Adjusted"
"318",554.75,558.125,551.174987792969,553.525024414062,2401182,467.320159912109
"319",554,561.950012207031,545.25,551.325012207031,4055238,465.462829589844
"320",551.75,557.150024414062,547.5,550.549987792969,2230516,464.808349609375
"321",551.299987792969,555.974975585938,548.299987792969,551,2135528,465.188415527344
"322",551.5,571.049987792969,548.424987792969,569.474975585938,5681646,480.786041259766
"323",570.5,575.700012207031,564.525024414062,566.849975585938,5361098,478.569763183594
"324",570,584.924987792969,567.5,569.875,3465934,481.123748779297
"325",570.025024414062,593.799987792969,570,591.674987792969,8310400,499.528594970703
"326",585,590.25,578.25,580.025024414062,4226194,489.693176269531
"327",572,574.575012207031,563.125,571.525024414062,5710316,482.516754150391
"328",569.950012207031,572.200012207031,564.025024414062,568.025024414062,2827130,479.562042236328
"329",568.674987792969,575,558,565.875,4689204,477.746856689453
"330",566,570,561.200012207031,566.299987792969,2987822,478.105560302734
"331",562.25,572.5,555.049987792969,568.299987792969,4962690,479.794067382812
"332",555.5,555.5,536.400024414062,543.325012207031,15535450,458.708679199219
"333",544.150024414062,550.375,539,541.825012207031,3368062,457.442230224609
"334",541.825012207031,541.825012207031,528.5,533.924987792969,4388014,450.772521972656
"335",536.474975585938,543.25,531.424987792969,533.724975585938,3240598,450.603607177734
"336",539.950012207031,540.224975585938,528.025024414062,536.125,2226902,453.479675292969
"337",537.525024414062,538.5,529.875,531.349975585938,2780046,449.440673828125
"338",532.5,541.900024414062,525.625,536.775024414062,2380474,454.029479980469
"339",535.700012207031,537,526.325012207031,528.049987792969,1613426,446.6494140625
"340",528.5,537.5,526.849975585938,530.5,3424864,448.721801757812
"341",532,535.5,525.125,533.200012207031,3884200,451.005432128906
"342",535.5,537,527.049987792969,532.974975585938,4340468,450.815155029297
"343",536,540.5,529.099975585938,532.099975585938,3164414,450.075134277344
"344",535.5,544.974975585938,527.625,535.650024414062,10631688,453.077789306641
"345",535.700012207031,547.5,534.099975585938,542.5,4354812,458.871765136719
"346",544,549.174987792969,534,539.099975585938,4745448,455.995941162109
"347",542.5,549.700012207031,540.025024414062,546.275024414062,4255094,462.065002441406
"348",549.424987792969,559.5,543.575012207031,557.599975585938,3400394,471.644134521484
"349",556.200012207031,556.700012207031,540.5,542.924987792969,4128970,459.231353759766
"350",545,550.575012207031,537.775024414062,539.599975585938,4701806,456.418914794922
"351",541.5,543.599975585938,535.625,539.799987792969,3272806,456.588073730469
"352",543.450012207031,550.900024414062,540.700012207031,545.599975585938,2056008,461.493988037109
"353",550,558.474975585938,546.950012207031,553.950012207031,6485078,468.556823730469
