"","APOLLOHOSP.NS.Open","APOLLOHOSP.NS.High","APOLLOHOSP.NS.Low","APOLLOHOSP.NS.Close","APOLLOHOSP.NS.Volume","APOLLOHOSP.NS.Adjusted"
"1277",4449,4473.39990234375,4361.2998046875,4401.64990234375,312308,4374.875
"1278",4401.64990234375,4446,4337.25,4413.7998046875,287008,4386.951171875
"1279",4429,4450.2001953125,4381.35009765625,4402.2001953125,313250,4375.42138671875
"1280",4416.75,4445,4393.89990234375,4408.2998046875,168868,4381.484375
"1281",4416,4488.89990234375,4412.0498046875,4421.10009765625,242661,4394.20703125
"1282",4414.89990234375,4441.2001953125,4360,4376.0498046875,246734,4349.4306640625
"1283",4399,4538.25,4385.14990234375,4418.14990234375,684685,4391.27490234375
"1284",4399.7001953125,4399.7001953125,4291.64990234375,4317.25,328154,4290.98828125
"1285",4327,4435.9501953125,4322,4345,496455,4318.56982421875
"1286",4345,4354.75,4275,4299.60009765625,279237,4273.44580078125
"1287",4334.75,4367.9501953125,4309.2998046875,4328.7998046875,279479,4302.46826171875
"1288",4330.9501953125,4370,4266,4319.0498046875,300181,4292.77685546875
"1289",4340,4376.2001953125,4296.7001953125,4346.5,368653,4320.06005859375
"1290",4322,4353.89990234375,4195,4313,563835,4286.76416015625
"1291",4320,4353.89990234375,4266,4274,239304,4248.00146484375
"1292",4275.0498046875,4295,4211.10009765625,4285.10009765625,302705,4259.0341796875
"1293",4276,4299.35009765625,4243.5498046875,4273.0498046875,233054,4247.05712890625
"1294",4277.5,4354.64990234375,4261,4283.35009765625,354933,4257.29443359375
"1295",4304.7001953125,4407.89990234375,4277,4318.10009765625,495895,4291.83349609375
"1296",4334.7998046875,4343.5,4245.0498046875,4333.60009765625,343628,4307.23876953125
"1297",4333.60009765625,4380,4311.10009765625,4363,250790,4336.46044921875
"1298",4384.85009765625,4400.9501953125,4299.9501953125,4310.89990234375,465663,4284.67724609375
"1299",4343.5,4343.9501953125,4220.14990234375,4234.35009765625,493574,4208.59228515625
"1300",4250,4250,4168,4200.9501953125,622533,4175.39599609375
"1301",4217,4225,4183.14990234375,4201.9501953125,286725,4176.39013671875
"1302",4215,4243.64990234375,4187.2998046875,4237,323560,4211.2265625
"1303",4263,4286.7998046875,4221.14990234375,4271.2998046875,284178,4245.31787109375
"1304",4287.7001953125,4328.9501953125,4266.5,4320.2001953125,304498,4293.9208984375
"1305",4329,4481.10009765625,4320.2998046875,4398.2998046875,1257056,4371.544921875
"1306",4410,4448.39990234375,4340,4386.7001953125,334963,4360.0166015625
"1307",4380,4384.10009765625,4293.89990234375,4338.64990234375,409038,4312.25830078125
"1308",4355,4355,4221.5498046875,4320.2998046875,517278,4294.01953125
"1309",4320.2998046875,4358.85009765625,4233.14990234375,4348.39990234375,484517,4321.94873046875
"1310",4340,4428,4318.4501953125,4361.2998046875,485292,4334.77001953125
"1311",4362.2998046875,4462.2001953125,4362.2998046875,4399.0498046875,571150,4372.29052734375
"1312",4409.9501953125,4446.25,4383.10009765625,4416.5,252655,4389.634765625
"1313",4419.9501953125,4488.7001953125,4401,4410.39990234375,438486,4383.5712890625
"1314",4419.85009765625,4438.5,4365.0498046875,4417.5,400508,4390.62841796875
"1315",4442.9501953125,4529,4430.9501953125,4513.7001953125,713399,4486.2431640625
"1316",4529.75,4573.2998046875,4476.89990234375,4490.7998046875,384900,4463.482421875
"1317",4509.75,4524.4501953125,4482,4515.4501953125,287955,4487.98291015625
"1318",4510,4569.89990234375,4500,4553.2001953125,391146,4525.50341796875
"1319",4550,4630,4521.5,4602.5,332169,4574.50341796875
"1320",4611,4660,4585,4625.10009765625,274255,4596.9658203125
"1321",4645.89990234375,4647.89990234375,4582.2998046875,4593.0498046875,207566,4565.11083984375
"1322",4593.0498046875,4634,4577,4601.2998046875,293523,4573.310546875
