,BEL.NS.Open,BEL.NS.High,BEL.NS.Low,BEL.NS.Close,BEL.NS.Volume,BEL.NS.Adjusted
641,36.46666718,36.78333282,35.08333206,35.28333282,64308066,32.30974579
642,35.31666565,37.06666565,35.11666489,36.8833313,86740731,33.77489853
643,37,38.46666718,36.54999924,38.15000153,89867817,34.93481064
644,38.33333206,39.48333359,36.51666641,37.71666718,102780930,34.5379982
645,38.29999924,38.31666565,36.6333313,36.93333435,45730728,33.82068634
646,37,37.73333359,36.56666565,37.23333359,44837076,34.09540558
647,37.54999924,38.36666489,37.26666641,37.43333435,50101056,34.27855301
648,37,37.66666412,36.54999924,37.29999924,34004268,34.15645218
649,37.5,37.83333206,36.93333435,37.36666489,29551281,34.21750259
650,37,38.33333206,36.86666489,38.20000076,53662929,34.98060608
651,38.3833313,38.65000153,37.09999847,37.46666718,43986726,34.3090744
652,37.53333282,37.73333359,36.86666489,37.26666641,36546204,34.12593079
653,37.28333282,37.54999924,36.59999847,36.76666641,27418104,33.66806793
654,37.98333359,38.25,36.93333435,37.34999847,48606249,34.20223999
655,37.5,37.70000076,35,35.36666489,42730581,32.38605118
656,35.66666412,36.23333359,34.79999924,35.98333359,34287075,32.95074844
657,35.98333359,36.56666565,35.41666412,36.33333206,17392587,33.27125549
658,36.5,36.78333282,35.93333435,36.15000153,26656869,33.1033783
659,35.16666412,36.16666412,35.11666489,35.46666718,29954895,32.47763062
660,35.6333313,36.04999924,34.90000153,35.20000076,19157754,32.23342896
661,35.36666489,35.53333282,33.86666489,34.21666718,30300756,31.33297729
662,33.76666641,34.48333359,33.23333359,33.68333435,34565667,30.84458733
663,33.8833313,34.23333359,33,33.86666489,23708142,31.01247025
664,34,34.25,33.76666641,34.08333206,14088816,31.21087456
665,35.33333206,36.54999924,34.79999924,35.68333435,53551527,32.67603302
666,35.34999847,35.66666412,34.65000153,34.93333435,26941557,32.41313934
667,35,35.16666412,34.09999847,34.48333359,14635695,31.99560928
668,34.16666412,34.96666718,34.1333313,34.51666641,21721305,32.02653885
669,34.66666412,34.86666489,34.06666565,34.6333313,27984618,32.13478851
670,34.56666565,34.59999847,31.70000076,32.09999847,40827702,29.78421593
671,32.11666489,32.20000076,30.33333206,30.73333359,48561300,28.51614189
672,31.01666641,31.83333206,30.78333282,31.28333282,48748803,29.02646255
673,30.73333359,30.98333359,29.88333321,30.14999962,30841869,27.97489357
674,30.63333321,31.46666527,30.45000076,31.10000038,19431048,28.85635948
675,31.33333206,32.76666641,31.28333282,32.48333359,21869313,30.13989067
676,32.90000153,33.09999847,31.60000038,32,27336762,29.69142914
677,32,32.15000153,31.29999924,31.91666603,14189412,29.61410713
678,32.08333206,32.53333282,31.66666603,32.03333282,12637821,29.7223568
679,32.1333313,32.23333359,31.53333282,32.06666565,11784675,29.75328636
680,32.20000076,32.33333206,31.54999924,31.91666603,19176597,29.61410713
681,31.95000076,32.15000153,31.29999924,31.38333321,13131330,29.11924934
682,31.66666603,31.76666641,30.86666679,31.18333244,13561056,28.93367577
683,31.06666565,31.35000038,30.60000038,30.93333244,12672492,28.70171356
684,31.01666641,31.66666603,30.86666679,31.18333244,21410115,28.93367577
685,31.18333244,31.31666565,30.33333206,30.5,19966965,28.29964256
686,30.64999962,31.25,30.38333321,30.51666641,22321728,28.31511116
687,30.58333206,30.81666565,29.28333282,29.46666527,15857307,27.34085274
688,29.23333359,30.45000076,29.23333359,30.33333206,21800793,28.14499855
689,30.46666527,30.64999962,29.48333359,30.01666641,22512567,27.85117912
690,29.71666527,30.36666679,29.68333244,29.98333359,14685903,27.82024956
691,30,30.93333244,29.71666527,30.79999924,28952280,28.57800102
692,30.78333282,31.71666527,30.54999924,31.03333282,28783392,28.79450035
693,31.28333282,31.41666603,30.71666527,30.86666679,17663049,28.63985634
694,30.86666679,30.91666603,29.68333244,29.98333359,18531900,27.82024956
695,29.96666527,30.14999962,29.56666565,29.89999962,12329295,27.74292946
696,29.89999962,30.01666641,29.23333359,29.41666603,13325832,27.29446411
697,29.21666527,29.63333321,28.78333282,28.88333321,16816755,26.79960632
698,28.96666527,29.95000076,28.81666565,29,27632397,26.90785789
699,29.28333282,29.86666679,29.08333206,29.54999924,14246079,27.41817856
700,29.61666679,30.13333321,29.61666679,29.79999924,10505982,27.65014267
701,30.08333206,30.11666679,29.29999924,29.63333321,10174500,27.49549675
702,29.79999924,31.14999962,29.68333244,30.96666527,21741264,28.73263931
703,30.70000076,31.16666603,30.5,30.81666565,20163741,28.59346771
704,31.5,31.63333321,30.58333206,31.01666641,24865398,28.77903938
705,31,32.08333206,30.68333244,31.79999924,31640469,29.50585556
706,31.98333359,32.46666718,31.5,31.89999962,24266727,29.59864235
707,32.03333282,32.16666412,31.33333206,31.41666603,32573475,29.150177
708,31.29999924,32.41666412,30.91666603,32.23333359,23221539,29.90792847
709,32.40000153,32.40000153,32.1333313,32.20000076,2843181,29.87700081
710,32.51666641,32.58333206,31.91666603,32.04999924,13608048,29.73782158
711,32.04999924,32.76666641,31.89999962,32.18333435,31608804,29.86153984
712,32.16666412,36.08333206,31.89999962,34.36666489,127231584,31.8873558
713,35.04999924,36.6333313,34.83333206,36.11666489,111976335,33.51110077
714,36.18333435,36.34999847,34.83333206,35.33333206,32719695,32.78428268
715,35.33333206,36.29999924,35.33333206,35.90000153,32900253,33.31007385
716,36,36.79999924,35.29999924,35.61666489,37300935,33.04717255
717,35.79999924,36.43333435,35.61666489,36.29999924,28747059,33.68120956
718,36.48333359,37.93333435,36.34999847,37.03333282,42740469,34.36164093
719,37.03333282,37.59999847,36.76666641,37.26666641,32351613,34.5781517
720,37.33333206,38.33333206,37.18333435,37.84999847,48411381,35.1193924
721,38.03333282,38.93333435,37.95000076,38.33333206,48553872,35.56785965
722,38.6333313,39.33333206,38.1333313,38.58333206,46007778,35.79981613
723,38.61666489,38.91666412,38.11666489,38.31666565,26587011,35.55239105
724,38.51666641,38.68333435,37.03333282,37.71666718,36642735,34.99567795
725,38.58333206,40.83333206,38.26666641,38.98333359,147504747,36.17095947
726,38.93333435,38.93333435,37.48333359,38.1333313,38748615,35.38228226
727,38.1333313,38.79999924,37.78333282,38.21666718,41079909,35.4596138
728,38.54999924,39.75,38.40000153,39.51666641,75008775,36.66582489
729,39.1333313,39.76666641,39.06666565,39.41666412,32266752,36.57303619
730,39.66666412,40.23333359,39.11666489,39.36666489,38725125,36.52663803
731,39.33333206,40.28333282,38.59999847,40.09999847,56242236,37.20707321
732,40.48333359,40.90000153,39.51666641,40.41666412,97760322,37.50088882
733,40.23333359,41.06666565,36.3833313,37.31666565,86979072,34.62453079
734,37.31666565,38.03333282,35.45000076,37.41666412,73882653,34.7173233
735,37.73333359,38.65000153,37.5,38.48333359,39047973,35.70703125
736,38.71666718,39.3833313,38.09999847,38.29999924,28256172,35.5369339
737,38.73333359,38.84999847,37.96666718,38.20000076,28341882,35.4441452
738,38.40000153,38.73333359,37.98333359,38.25,20782080,35.49053955
739,38.33333206,38.43333435,37.79999924,38.1333313,18996630,35.38228226
740,38.56666565,40.25,38.46666718,39.98333359,112170381,37.09882736
741,40.33333206,42.66666412,40.20000076,42.1333313,201696168,39.09371567
742,43,43.93333435,42.29999924,43.76666641,105614565,40.6092186
743,43.33333206,44.41666412,43,43.83333206,64361523,40.67106628
744,44,45.1333313,43.21666718,44.3833313,74098809,41.18139267
745,44.79999924,45,43.76666641,43.91666412,46011027,40.74840164
746,44.34999847,44.58333206,43.84999847,44.03333282,19906347,40.85664368
747,44.26666641,45.18333435,43.18333435,44.86666489,42426342,41.62985992
748,44.98333359,45.31666565,44.46666718,44.81666565,32608233,41.58346558
749,44.84999847,45.90000153,44.15000153,44.68333435,38455479,41.45974731
750,44.91666412,47,44.84999847,46.3833313,94302666,43.03710556
751,46.23333359,46.5,44.1333313,44.48333359,44817729,41.27418137
752,44.61666489,45.08333206,42.76666641,44.51666641,53634528,41.30511475
753,44.84999847,46.06666565,44.70000076,45.68333435,64391526,42.38761139
754,45.78333282,46.31666565,44.96666718,45.16666412,39771243,41.90821075
755,45.5,45.93333435,44.09999847,44.6333313,31082454,41.41335297
756,44.5,45.16666412,43.6333313,44.11666489,30823161,40.93396378
757,44.58333206,44.91666412,42.96666718,43.56666565,22702206,40.42364883
758,43.66666412,44.79999924,43.59999847,44.23333359,55897923,41.04221725
759,43.66666412,44.90000153,43.28333282,43.73333359,49918659,40.57828903
760,43.59999847,45.41666412,42.33333206,43.34999847,77617473,40.22260666
761,43.33333206,44.93333435,41.86666489,44.56666565,47400000,41.35150146
762,44.91666412,45.59999847,43.79999924,44.5,32215686,41.28964615
763,44.73333359,47.06666565,44.71666718,46.36666489,63440358,43.02164459
764,46.58333206,47.26666641,45.68333435,46.98333359,55032168,43.59382248
765,47.33333206,47.73333359,46.23333359,46.73333359,29863140,43.36185455
766,47.06666565,47.66666412,46.5,46.91666412,31927191,43.97103882
767,47.15000153,47.33333206,45.79999924,45.98333359,48306774,43.09630966
768,46.29999924,47.45000076,46.11666489,46.61666489,33662136,43.68988037
769,46.43333435,46.83333206,44.86666489,45.1333313,35392794,42.2996788
