,BHARTIARTL.NS.Open,BHARTIARTL.NS.High,BHARTIARTL.NS.Low,BHARTIARTL.NS.Close,BHARTIARTL.NS.Volume,BHARTIARTL.NS.Adjusted
1622,1484.400024,1484.900024,1464.050049,1470.349976,4263689,1462.201416
1623,1477.849976,1504.150024,1473.150024,1491.550049,5634305,1483.284058
1624,1485,1511,1485,1505.5,4531379,1497.156616
1625,1494.099976,1505.150024,1483.599976,1493.800049,3335905,1485.521484
1626,1482,1488,1451.5,1465.699951,5111901,1457.577148
1627,1483.099976,1492.900024,1431.099976,1443.550049,8249573,1435.550049
1628,1452,1454.900024,1422.599976,1441.75,5700734,1441.75
1629,1435,1466.5,1430,1451.800049,5986360,1451.800049
1630,1465,1482,1457.300049,1464.099976,3615910,1464.099976
1631,1466,1477.5,1445,1458.599976,4028226,1458.599976
1632,1468,1478.400024,1450.349976,1459.699951,4495208,1459.699951
1633,1453.099976,1480.099976,1453.099976,1471.699951,5891784,1471.699951
1634,1480,1491,1468.099976,1483.550049,7176426,1483.550049
1635,1487,1489.099976,1464.300049,1469.650024,4404075,1469.650024
1636,1480,1484.75,1446.5,1449.150024,10046892,1449.150024
1637,1453,1466.599976,1447.699951,1463.449951,6175510,1463.449951
1638,1473.699951,1499.900024,1465,1486.349976,6781325,1486.349976
1639,1493,1510,1479.349976,1506.75,6238112,1506.75
1640,1509,1520.699951,1505,1513.550049,4307432,1513.550049
1641,1518,1526.349976,1502,1522.75,3965066,1522.75
1642,1527.949951,1564.5,1521.650024,1556.349976,6225319,1556.349976
1643,1565,1571.699951,1545.949951,1565.900024,8036748,1565.900024
1644,1576,1608.400024,1561.599976,1589.050049,37820442,1589.050049
1645,1605,1605,1565.5,1571.349976,4890314,1571.349976
1646,1579,1579,1558.599976,1560.599976,4546295,1560.599976
1647,1558,1566,1542,1561.900024,5213811,1561.900024
1648,1559,1563,1541.5,1547.199951,5652812,1547.199951
1649,1552.800049,1555.599976,1530.199951,1539.25,5497805,1539.25
1650,1523.25,1546.75,1523.25,1542.650024,3912508,1542.650024
1651,1545.150024,1586,1545.150024,1577.849976,6163457,1577.849976
1652,1578.449951,1598.900024,1574.449951,1577.800049,5994914,1577.800049
1653,1596.150024,1652.800049,1590.099976,1646.75,12204496,1646.75
1654,1651,1654.900024,1631.050049,1634.449951,5609618,1634.449951
1655,1634.449951,1652.949951,1630.099976,1635.449951,3762063,1635.449951
1656,1650,1666.050049,1638.5,1661.75,4223072,1661.75
1657,1655.199951,1670.949951,1647.849976,1654.900024,3171195,1654.900024
1658,1647.699951,1711.699951,1647.699951,1664.849976,8498240,1664.849976
1659,1671,1723.400024,1666,1711.75,21646275,1711.75
1660,1719,1754.25,1719,1750.449951,5001827,1750.449951
1661,1752,1767.550049,1746.099976,1756.650024,7579205,1756.650024
1662,1755.550049,1766.900024,1745,1760.400024,4017103,1760.400024
1663,1770,1779,1746.150024,1771.099976,7417423,1771.099976
1664,1755.199951,1763.449951,1722.5,1734.599976,7116861,1734.599976
1665,1714,1733,1704.199951,1709.550049,6907288,1709.550049
1666,1705,1722.849976,1696,1698.699951,3649090,1698.699951
1667,1665,1695,1665,1673.449951,7200276,1673.449951
1668,1670.050049,1686.699951,1630.150024,1640.900024,8576527,1640.900024
1669,1651,1670,1642.449951,1662.050049,5387707,1662.050049
1670,1662.599976,1679.5,1652,1657.449951,5224335,1657.449951
1671,1666.75,1704.599976,1661.050049,1678.099976,3414614,1678.099976
1672,1686.599976,1698.949951,1665,1678.099976,5047657,1678.099976
1673,1678.099976,1690.25,1658.650024,1687.400024,2367678,1687.400024
1674,1686,1710.050049,1679.349976,1695.599976,2069815,1695.599976
1675,1708,1732.75,1699.949951,1717.25,5891334,1717.25
1676,1720,1742.25,1717.099976,1733.949951,3299887,1733.949951
1677,1736.75,1737.949951,1694.400024,1701.150024,4373392,1701.150024
1678,1710,1716.099976,1685.199951,1707.849976,4154915,1707.849976
1679,1705.550049,1708.949951,1662,1692.550049,3836168,1692.550049
1680,1692,1712.900024,1687.349976,1692.25,3070057,1692.25
1681,1690,1701.349976,1680.099976,1685.800049,2764757,1685.800049
1682,1687,1693,1657.400024,1678.449951,3669575,1678.449951
1683,1681.099976,1684.75,1655.849976,1666,3434386,1666
1684,1658.150024,1677.849976,1645.650024,1663.349976,2811651,1663.349976
1685,1650.5,1667.949951,1610,1637.099976,6990747,1637.099976
1686,1627.800049,1651,1617.800049,1633.349976,4622628,1633.349976
1687,1634,1638.800049,1602.150024,1612.599976,4921681,1612.599976
1688,1620,1626.349976,1605.349976,1616.449951,279441,1616.449951
1689,1619.150024,1623.849976,1573.050049,1591.25,6094029,1591.25
1690,1583.25,1593.900024,1566,1578.400024,6473278,1578.400024
1691,1583,1610.75,1566.5,1598.800049,6631728,1598.800049
1692,1595.949951,1608.550049,1569.650024,1575.800049,5160994,1575.800049
1693,1571,1579.5,1558.849976,1569.900024,3096384,1569.900024
1694,1561,1581.599976,1551.800049,1560.550049,3664301,1560.550049
1695,1568.800049,1595,1550.099976,1555.650024,4479934,1555.650024
1696,1559.900024,1572.5,1546.349976,1550.449951,5816699,1550.449951
1697,1550,1568,1536.550049,1550.5,5139154,1550.5
1698,1568.949951,1568.949951,1529.449951,1537,4816078,1537
1699,1537,1558,1519.300049,1525.5,6238241,1525.5
1700,1538,1542.050049,1511,1525.150024,7356679,1525.150024
1701,1533,1575,1520.199951,1569.300049,7640321,1569.300049
1702,1581.949951,1609.25,1562.550049,1578.75,12155641,1578.75
1703,1590,1604.849976,1566,1577.25,4030593,1577.25
