"","HINDCOPPER.NS.Open","HINDCOPPER.NS.High","HINDCOPPER.NS.Low","HINDCOPPER.NS.Close","HINDCOPPER.NS.Volume","HINDCOPPER.NS.Adjusted"
"267",45.4000015258789,46.2999992370605,45,45.4000015258789,351783,43.7661819458008
"268",45.7000007629395,46.25,45.2999992370605,45.9500007629395,366756,44.2963905334473
"269",46.5,46.6500015258789,45.8499984741211,46.3499984741211,348903,44.6819953918457
"270",46.5,46.9000015258789,45.5999984741211,45.9500007629395,306758,44.2963905334473
"271",46.0499992370605,46.5,44.7999992370605,45,415215,43.3805847167969
"272",45.0499992370605,45.3499984741211,44.0999984741211,44.2999992370605,308166,42.7057647705078
"273",44.2000007629395,44.9500007629395,43.5499992370605,44.3499984741211,468415,42.7539672851562
"274",44.75,44.9500007629395,44,44.3499984741211,295263,42.7539672851562
"275",43.75,44.5499992370605,43.5999984741211,43.9500007629395,263511,42.3683662414551
"276",44,44.5,43,43.5,319106,41.9345588684082
"277",45,46.4000015258789,44.25,45.5999984741211,1781702,43.9589881896973
"278",44.0999984741211,45.9000015258789,43.3499984741211,45.1500015258789,565145,43.5251808166504
"279",44.9500007629395,44.9500007629395,43.25,43.5999984741211,442892,42.0309562683105
"280",43.5999984741211,43.8499984741211,43,43.1500015258789,264084,41.5971565246582
"281",43.4000015258789,45.2999992370605,43.3499984741211,44.2999992370605,506910,42.7057647705078
"282",44.5,45.2000007629395,44.2999992370605,44.5499992370605,391153,42.9467697143555
"283",44.7000007629395,45.4500007629395,44.25,44.7999992370605,365881,43.1877708435059
"284",44.7999992370605,45.5499992370605,44.5499992370605,45.0499992370605,451010,43.4287796020508
"285",45.0499992370605,46.75,45.0499992370605,46.4500007629395,587009,44.7783966064453
"286",46.1500015258789,46.1500015258789,45,45.4000015258789,509709,43.7661819458008
"287",45.8499984741211,46.9500007629395,44.5499992370605,45.2000007629395,732436,43.5733833312988
"288",45.5499992370605,46,45.2000007629395,45.7000007629395,318977,44.0553855895996
"289",46.5,47.7000007629395,46.25,47.2000007629395,1337681,45.501407623291
"290",47.2999992370605,50.7000007629395,47.25,50,2223281,48.2006454467773
"291",51.7999992370605,52.75,50.6500015258789,51.2000007629395,2132625,49.3574562072754
"292",51.5999984741211,51.6500015258789,49.7999992370605,50.0499992370605,707554,48.2488403320312
"293",49.5,50.5999984741211,49.0499992370605,49.2999992370605,622626,47.5258293151855
"294",49.1500015258789,50.5,49.1500015258789,50.2999992370605,712258,48.4898490905762
"295",50.3499984741211,51.2000007629395,50.0499992370605,50.25,776571,48.4416427612305
"296",50.3499984741211,50.3499984741211,48.9000015258789,49.1500015258789,601863,47.381233215332
"297",49.1500015258789,49.7999992370605,48.6500015258789,48.7999992370605,401428,47.043830871582
"298",48.7999992370605,49.2999992370605,48.2000007629395,48.4500007629395,426374,46.7064208984375
"299",48.5999984741211,49.6500015258789,48.5499992370605,49.2000007629395,651392,47.4294319152832
"300",49.4500007629395,51.5999984741211,48.75,50.5999984741211,1992620,48.7790489196777
"301",50.5,50.7999992370605,49.2000007629395,49.4000015258789,626541,47.6222381591797
"302",49.3499984741211,50.2000007629395,48.0999984741211,48.5499992370605,636005,46.8028259277344
"303",48,48.5999984741211,47.2999992370605,47.7000007629395,444370,45.9834098815918
"304",48.2000007629395,49.4000015258789,47.5499992370605,48.0999984741211,667090,46.3690185546875
"305",48.5,48.6500015258789,47.7999992370605,48.2000007629395,658119,46.4654197692871
"306",48.6500015258789,49.0999984741211,48.2000007629395,48.5,427776,46.7546272277832
"307",49.7000007629395,51.5,49.7000007629395,49.9500007629395,1374422,48.1524429321289
"308",50.0999984741211,50.3499984741211,49.2999992370605,49.5999984741211,534276,47.8150329589844
"309",49.9500007629395,50.4000015258789,48.9500007629395,49.5499992370605,808590,47.7668304443359
"310",49.9000015258789,50.25,48.5,48.7000007629395,615880,46.9474258422852
"311",49.5999984741211,50.2999992370605,49.2999992370605,50.0499992370605,1549401,48.2488403320312
"312",50,51.25,49.2999992370605,50,1272186,48.2006454467773
"313",50,50.5,49.5,49.9000015258789,513054,48.1042442321777
"314",49.4500007629395,50.75,49.2999992370605,49.5999984741211,806530,47.8150329589844
"315",49.5999984741211,49.9000015258789,49.1500015258789,49.3499984741211,392529,47.5740356445312
"316",49.5999984741211,50,49.2000007629395,49.3499984741211,418329,47.5740356445312
"317",49.5999984741211,50.9500007629395,49.3499984741211,50.2999992370605,935588,48.4898490905762
"318",50.5,51,50,50.0999984741211,667394,48.2970390319824
