"","INFY.NS.Open","INFY.NS.High","INFY.NS.Low","INFY.NS.Close","INFY.NS.Volume","INFY.NS.Adjusted"
"857",1525,1525,1498.65002441406,1503.15002441406,5529809,1384.98840332031
"858",1517,1568.75,1511.19995117188,1559.19995117188,10785137,1436.63244628906
"859",1572,1578,1543,1574.19995117188,9780240,1450.453125
"860",1572.90002441406,1580.15002441406,1560.59997558594,1571.80004882812,5019178,1448.24194335938
"861",1561,1573.65002441406,1559.19995117188,1563.05004882812,5913567,1440.1796875
"862",1572.05004882812,1591,1572.05004882812,1580.80004882812,6058722,1456.53442382812
"863",1576.84997558594,1576.84997558594,1559.05004882812,1560.40002441406,4814317,1437.73791503906
"864",1558.94995117188,1569.44995117188,1542.59997558594,1567.80004882812,5166064,1444.55627441406
"865",1569.15002441406,1585,1561.05004882812,1578.94995117188,4058338,1454.82971191406
"866",1573.69995117188,1586.75,1557.09997558594,1562.19995117188,4089574,1439.396484375
"867",1566.05004882812,1570.55004882812,1544.65002441406,1564.59997558594,4797120,1441.60778808594
"868",1568,1576,1549,1560.75,3326813,1438.06042480469
"869",1556,1569.90002441406,1551,1562.90002441406,3436594,1440.04162597656
"870",1570.55004882812,1578,1533.75,1547.84997558594,4588982,1426.17456054688
"871",1556.40002441406,1556.40002441406,1536.30004882812,1544.94995117188,4456160,1423.50256347656
"872",1554,1582.80004882812,1538.09997558594,1576.90002441406,5657716,1452.94091796875
"873",1557.90002441406,1596.84997558594,1556,1580.80004882812,10021355,1456.53442382812
"874",1573.75,1574.65002441406,1549.59997558594,1555.44995117188,6265593,1433.17712402344
"875",1544.69995117188,1552.90002441406,1537.55004882812,1541.69995117188,5669162,1420.50793457031
"876",1538.30004882812,1557.69995117188,1538,1550.05004882812,5069939,1428.20166015625
"877",1561.40002441406,1592.84997558594,1561.40002441406,1590.19995117188,7854575,1465.19555664062
"878",1588.55004882812,1598.5,1585.05004882812,1590.44995117188,4179719,1465.42578125
"879",1594.09997558594,1611.65002441406,1594.09997558594,1603.90002441406,4586710,1477.81848144531
"880",1605,1609.30004882812,1597.90002441406,1602.55004882812,5892859,1476.57458496094
"881",1605.09997558594,1607.59997558594,1585.5,1605.59997558594,4686788,1479.384765625
"882",1600.09997558594,1620,1600.09997558594,1617,4660873,1489.888671875
"883",1610,1623.40002441406,1606.15002441406,1610.5,6234257,1483.89965820312
"884",1627.44995117188,1634.75,1619.19995117188,1631.55004882812,5553389,1503.294921875
"885",1647,1658.65002441406,1635.59997558594,1655.19995117188,5513668,1525.08569335938
"886",1669.09997558594,1679.90002441406,1639.05004882812,1649.25,6740391,1519.60363769531
"887",1649.5,1666,1647.05004882812,1653.55004882812,5420536,1523.56567382812
"888",1657,1660.65002441406,1644,1650.19995117188,3754855,1520.47875976562
"889",1661,1667.44995117188,1646.40002441406,1663.30004882812,5018477,1532.54919433594
"890",1668,1680,1661.05004882812,1677.25,6846517,1545.40234375
"891",1674.80004882812,1684,1668,1677.55004882812,4899639,1545.67895507812
"892",1679.15002441406,1696.5,1674,1689.59997558594,5659579,1556.78173828125
"893",1697,1722.5,1691.30004882812,1712.19995117188,5612790,1577.60522460938
"894",1707.69995117188,1719.94995117188,1690.09997558594,1704.40002441406,4564109,1570.41833496094
"895",1703.90002441406,1748.90002441406,1686.55004882812,1741.65002441406,9510390,1604.73999023438
"896",1729,1755.5,1727,1733.44995117188,6686090,1597.1845703125
"897",1716.09997558594,1745,1716.09997558594,1732.94995117188,6206972,1596.72387695312
"898",1735.75,1753.15002441406,1732,1738.75,6189051,1602.06799316406
"899",1750,1757,1712.69995117188,1720.84997558594,7602939,1585.5751953125
"900",1718,1746.90002441406,1718,1735.55004882812,6153253,1599.11962890625
"901",1734,1746,1720,1727.69995117188,5302248,1591.88647460938
"902",1725,1727.69995117188,1705.19995117188,1708.80004882812,6698514,1574.47253417969
"903",1703.05004882812,1718.65002441406,1690.40002441406,1698.05004882812,6559667,1564.56750488281
"904",1700.15002441406,1715,1685.84997558594,1706.44995117188,12255438,1572.30712890625
"905",1709.5,1709.5,1673.15002441406,1677.75,7801974,1545.86303710938
"906",1677.34997558594,1694.30004882812,1662.65002441406,1689.09997558594,6830050,1556.32104492188
"907",1696.05004882812,1705.94995117188,1684.40002441406,1700.65002441406,5339139,1566.962890625
"908",1705.15002441406,1732,1699.34997558594,1730.40002441406,4876026,1594.37438964844
"909",1730,1734.90002441406,1704,1706.65002441406,3520341,1572.49145507812
"910",1700.84997558594,1700.84997558594,1682.94995117188,1693.25,4584896,1560.14477539062
"911",1685.90002441406,1694.90002441406,1682.15002441406,1691.59997558594,3331674,1558.62438964844
"912",1683,1701.5,1675.19995117188,1691.90002441406,4662374,1558.90087890625
"913",1695.94995117188,1695.94995117188,1678.59997558594,1686.15002441406,4945167,1553.60278320312
"914",1693.25,1715.09997558594,1690.19995117188,1711.44995117188,4062344,1576.91394042969
"915",1715.19995117188,1719.25,1691.44995117188,1702.25,3246568,1568.43737792969
"916",1697,1718,1684.44995117188,1691.30004882812,7454864,1558.34814453125
"917",1685,1707.69995117188,1677.94995117188,1687.84997558594,5660743,1555.16931152344
"918",1700,1726.75,1684.65002441406,1718.44995117188,4672222,1583.36376953125
"919",1717,1738.90002441406,1713.05004882812,1716.90002441406,4553892,1581.93566894531
"920",1732,1745,1721.09997558594,1742.55004882812,3826090,1605.56921386719
"921",1758,1788,1752.44995117188,1763.84997558594,8280446,1625.19494628906
"922",1768.75,1769,1718.09997558594,1721.15002441406,5045337,1585.85144042969
"923",1710,1710,1675,1687.09997558594,6557197,1554.47814941406
"924",1659.25,1701.40002441406,1655,1692.25,7792548,1559.22326660156
"925",1703,1703,1670.09997558594,1675.19995117188,6914031,1543.513671875
"926",1665.09997558594,1678.94995117188,1661.25,1665.15002441406,5733906,1534.25366210938
"927",1672.5,1688,1665.40002441406,1678.75,2947154,1546.78454589844
"928",1671,1702.94995117188,1663,1692.80004882812,4373310,1559.73022460938
"929",1702.09997558594,1709,1670,1673.55004882812,4271698,1541.99340820312
"930",1687,1704.19995117188,1676.65002441406,1691,5476108,1558.07165527344
"931",1705.25,1731.5,1698.40002441406,1723.84997558594,4738376,1588.33923339844
"932",1682,1730,1663.69995117188,1690.94995117188,8840633,1558.025390625
"933",1677,1689,1662,1685.15002441406,7439300,1552.68151855469
"934",1695.94995117188,1713.65002441406,1680.05004882812,1709.19995117188,7104171,1574.84094238281
"935",1754,1783.59997558594,1698.19995117188,1715.75,19655776,1580.87609863281
"936",1740,1799,1740,1792.15002441406,13438109,1651.27038574219
"937",1814,1834.5,1782.30004882812,1822.15002441406,10324260,1678.912109375
"938",1829.40002441406,1848,1794.05004882812,1802.34997558594,5876115,1660.66870117188
"939",1814,1814,1746.84997558594,1753.65002441406,8779629,1615.79663085938
"940",1749.90002441406,1763.19995117188,1707,1719.80004882812,7369809,1584.60766601562
