"","BAJFINANCE.NS.Open","BAJFINANCE.NS.High","BAJFINANCE.NS.Low","BAJFINANCE.NS.Close","BAJFINANCE.NS.Volume","BAJFINANCE.NS.Adjusted"
"144",2685,2724.5,2667.05004882812,2713.69995117188,958703,2663.84130859375
"145",2715.55004882812,2722.60009765625,2666,2678,822162,2628.79711914062
"146",2672,2708.89990234375,2668.05004882812,2697.89990234375,711174,2648.33129882812
"147",2715,2771.64990234375,2702.69995117188,2722.80004882812,1584541,2672.77392578125
"148",2714.30004882812,2726.25,2680,2683.85009765625,781173,2634.53979492188
"149",2700,2709,2660.25,2681.30004882812,741852,2632.03637695312
"150",2693.89990234375,2707.94995117188,2666.44995117188,2696.25,622905,2646.71166992188
"151",2705,2754.5,2682,2747.35009765625,1166483,2696.873046875
"152",2755.19995117188,2819.64990234375,2752,2813.14990234375,2113934,2761.46435546875
"153",2824,2846.05004882812,2800,2830.14990234375,1147083,2778.15161132812
"154",2816,2837.39990234375,2791.25,2808.44995117188,877508,2756.85009765625
"155",2807.94995117188,2807.94995117188,2754.19995117188,2760.39990234375,809365,2709.68286132812
"156",2763.30004882812,2837.5,2763.30004882812,2830.19995117188,1051658,2778.20043945312
"157",2832,2908,2822.05004882812,2856.60009765625,2229727,2804.11596679688
"158",2866,2885,2841.5,2851.19995117188,688133,2798.81494140625
"159",2877.94995117188,2877.94995117188,2836.30004882812,2839.75,665480,2787.5751953125
"160",2840.85009765625,2883,2824.80004882812,2871.80004882812,951549,2819.03662109375
"161",2889,2909,2871.30004882812,2893.85009765625,1675920,2840.681640625
"162",2892,2943.39990234375,2891.05004882812,2916.60009765625,1327710,2863.01342773438
"163",2939.39990234375,2959,2925.05004882812,2950.75,976004,2896.53564453125
"164",2982,2982,2925.80004882812,2932.60009765625,1233742,2878.71948242188
"165",2930,2994,2930,2985.5,1402583,2930.64697265625
"166",2993.89990234375,2993.89990234375,2920.94995117188,2926.75,1452996,2872.97729492188
"167",2935,2954.85009765625,2841.10009765625,2856.60009765625,1357206,2804.11596679688
"168",2880,2880,2715.30004882812,2724.05004882812,2516840,2674.00073242188
"169",2724,2777.64990234375,2683.5,2746.30004882812,2606992,2695.84204101562
"170",2740.14990234375,2764.80004882812,2668,2716.89990234375,1728455,2666.982421875
"171",2729,2731.5,2671.39990234375,2684.10009765625,1147879,2634.78491210938
"172",2698.39990234375,2751.39990234375,2672.60009765625,2744.19995117188,1264436,2693.78051757812
"173",2732,2738,2596,2615.64990234375,1570179,2567.5927734375
"174",2621,2668.80004882812,2562.25,2600.75,3357660,2552.96655273438
"175",2617.94995117188,2636.94995117188,2516.10009765625,2594,2682340,2546.34008789062
"176",2630.5,2683.5,2626.25,2672.19995117188,1795131,2623.103515625
"177",2660,2660,2588.25,2604.60009765625,1455320,2556.74584960938
"178",2610,2627.44995117188,2559,2570.39990234375,1449290,2523.173828125
"179",2585,2597.69995117188,2486.5,2499.55004882812,1894557,2453.6259765625
"180",2530,2557,2124.64990234375,2379.39990234375,5750880,2335.68310546875
"181",2422.14990234375,2422.44995117188,2168.60009765625,2260.80004882812,7798172,2219.26245117188
"182",2235,2330.35009765625,2180.60009765625,2299.19995117188,5537396,2256.95678710938
"183",2329,2353.94995117188,2295.10009765625,2315.55004882812,2728756,2273.00610351562
