"","SIEMENS.NS.Open","SIEMENS.NS.High","SIEMENS.NS.Low","SIEMENS.NS.Close","SIEMENS.NS.Volume","SIEMENS.NS.Adjusted"
"312",1151.09997558594,1164.5,1140.55004882812,1145.34997558594,395394,1115.65539550781
"313",1145.09997558594,1158,1134.19995117188,1154.05004882812,216836,1124.12976074219
"314",1148.25,1168.90002441406,1144,1165.65002441406,379410,1135.42919921875
"315",1166.30004882812,1179,1160.44995117188,1174.19995117188,844131,1143.75732421875
"316",1172.15002441406,1195,1167.30004882812,1183.75,417083,1153.05993652344
"317",1185.25,1191,1180.15002441406,1187.65002441406,379457,1156.85876464844
"318",1188.5,1197,1178.65002441406,1190.15002441406,229872,1159.29382324219
"319",1185,1194.59997558594,1171.5,1184.40002441406,312973,1153.69299316406
"320",1181.09997558594,1183.94995117188,1152.94995117188,1158.30004882812,223279,1128.26977539062
"321",1166.94995117188,1174,1155,1168.25,213812,1137.96179199219
"322",1167.75,1180,1157.5,1177.59997558594,186709,1147.0693359375
"323",1181.94995117188,1201.80004882812,1165.80004882812,1193.75,438954,1162.80065917969
"324",1195,1197.94995117188,1175.5,1179.09997558594,544624,1148.5302734375
"325",1173.30004882812,1181.55004882812,1162.25,1172.75,246538,1142.34497070312
"326",1163.19995117188,1188.05004882812,1146,1149.59997558594,255810,1119.79504394531
"327",1153.94995117188,1179.25,1145,1175.90002441406,271219,1145.41345214844
"328",1171.09997558594,1171.09997558594,1134,1142.84997558594,236532,1113.22021484375
"329",1142.84997558594,1147.84997558594,1115.15002441406,1122,681095,1092.91088867188
"330",1111.09997558594,1116.80004882812,1075.55004882812,1089.05004882812,883593,1060.81494140625
"331",1080.30004882812,1099.44995117188,1076.25,1089.84997558594,357531,1061.59423828125
"332",1089.84997558594,1104.94995117188,1061.44995117188,1071.05004882812,470988,1043.28173828125
"333",1067.09997558594,1070.05004882812,1050,1050.90002441406,436822,1023.65423583984
"334",1045,1103,1043.55004882812,1089.65002441406,1409041,1061.3994140625
"335",1098,1102.09997558594,1067.34997558594,1073.90002441406,424045,1046.05786132812
"336",1079,1135,1075,1129.59997558594,573002,1100.31372070312
"337",1129.15002441406,1138.59997558594,1110,1125.94995117188,380607,1096.75830078125
"338",1140.90002441406,1197.30004882812,1140.90002441406,1192.09997558594,411728,1161.19323730469
"339",1190.40002441406,1241.69995117188,1170.80004882812,1183.05004882812,786730,1152.37817382812
"340",1181.09997558594,1189.90002441406,1156,1169,329795,1138.69213867188
"341",1188,1223.90002441406,1177.25,1184.80004882812,564354,1154.08276367188
"342",1183.59997558594,1230.80004882812,1183.59997558594,1218.94995117188,565916,1187.34716796875
"343",1219,1285.5,1219,1277.65002441406,906667,1244.52526855469
"344",1272.69995117188,1276.40002441406,1246,1262.30004882812,317780,1229.5732421875
"345",1262,1282,1246.30004882812,1252.5,372030,1220.02746582031
"346",1253.80004882812,1310,1247.94995117188,1299.15002441406,855236,1265.46801757812
"347",1303.55004882812,1307.25,1252,1271.80004882812,784906,1238.82690429688
"348",1272.84997558594,1291.34997558594,1257.5,1280.05004882812,443021,1246.86328125
"349",1280,1280,1260,1267.25,357442,1234.39501953125
"350",1262,1271.75,1240,1241.65002441406,273849,1209.45874023438
"351",1240,1266.90002441406,1229.05004882812,1253.25,447581,1220.75805664062
"352",1258.09997558594,1283.69995117188,1253,1269.94995117188,436540,1237.02514648438
"353",1270,1278.40002441406,1260.84997558594,1270.09997558594,177569,1237.17102050781
"354",1265,1277.90002441406,1250.30004882812,1259.84997558594,346075,1227.18676757812
"355",1260,1275,1254.05004882812,1271,197839,1238.04772949219
"356",1266,1279.90002441406,1250,1253.90002441406,187774,1221.39099121094
"357",1254,1263.90002441406,1243.30004882812,1250.69995117188,196446,1218.27404785156
"358",1254,1275.5,1243.84997558594,1258.69995117188,260521,1226.06652832031
"359",1263.90002441406,1292,1229,1269.30004882812,789957,1236.39172363281
"360",1266.5,1277.40002441406,1251.05004882812,1272.25,372344,1239.26538085938
"361",1272.25,1280.65002441406,1231.59997558594,1240.15002441406,471965,1207.99780273438
"362",1249,1255,1223.05004882812,1247.84997558594,340429,1215.49780273438
"363",1239.55004882812,1256.90002441406,1235.5,1251.34997558594,303437,1218.90710449219
"364",1261,1264.84997558594,1248.55004882812,1253.09997558594,264172,1220.61193847656
"365",1256,1300,1254.09997558594,1294.19995117188,669219,1260.64636230469
"366",1302,1319.90002441406,1285.65002441406,1311.34997558594,1037185,1277.3515625
"367",1319.94995117188,1333.90002441406,1301.09997558594,1330.44995117188,618081,1295.95642089844
"368",1337,1340,1316.09997558594,1327.05004882812,573099,1292.64453125
"369",1333,1338.59997558594,1321.65002441406,1331.75,294235,1297.22290039062
"370",1332,1361.84997558594,1327.55004882812,1357.65002441406,782113,1322.451171875
"371",1360.69995117188,1367.05004882812,1253.44995117188,1259.59997558594,1505346,1226.94323730469
"372",1270,1283.44995117188,1232.19995117188,1247.34997558594,874370,1215.01098632812
"373",1250,1270.69995117188,1233.05004882812,1260.09997558594,544818,1227.43041992188
"374",1255.25,1271.30004882812,1204,1212.80004882812,782295,1181.35668945312
"375",1221.5,1247,1214.65002441406,1235.94995117188,490098,1203.90661621094
"376",1240.94995117188,1244.30004882812,1220.55004882812,1230.5,333824,1198.59777832031
"377",1236,1238.94995117188,1206.40002441406,1216.5,406968,1184.96081542969
"378",1214,1234.5,1214,1230.34997558594,472585,1198.45166015625
"379",1232,1244.69995117188,1215,1220.69995117188,363212,1189.0517578125
"380",1227.34997558594,1230,1201.09997558594,1205.15002441406,278254,1173.90502929688
"381",1207.15002441406,1220.84997558594,1188.19995117188,1193.94995117188,274853,1162.99536132812
"382",1193.69995117188,1194,1169,1187.40002441406,269099,1156.615234375
"383",1185.15002441406,1219.90002441406,1179.80004882812,1204.69995117188,442214,1173.46655273438
"384",1204.69995117188,1204.69995117188,1164.19995117188,1182.59997558594,328933,1151.93969726562
"385",1190.80004882812,1200,1167.65002441406,1171.59997558594,283198,1141.22485351562
"386",1175.44995117188,1198.19995117188,1170.05004882812,1186.30004882812,205316,1155.54370117188
"387",1188,1203.90002441406,1162.05004882812,1167.75,258640,1137.47473144531
"388",1164.30004882812,1181,1144,1154.84997558594,308706,1124.90905761719
"389",1149.94995117188,1163.05004882812,1137,1144.75,491502,1115.07104492188
"390",1140,1151.94995117188,1102,1119.5,391524,1090.4755859375
"391",1114.94995117188,1128.69995117188,1100.55004882812,1115.05004882812,411244,1086.14099121094
"392",1103.19995117188,1123.75,1086.05004882812,1107.15002441406,268393,1078.44580078125
"393",1098.09997558594,1140.94995117188,1098.09997558594,1131.15002441406,417464,1101.82360839844
"394",1131,1135,1095.55004882812,1101.44995117188,345732,1072.89343261719
"395",1116.90002441406,1192.09997558594,1104,1150.19995117188,2373589,1120.37963867188
"396",1154,1188,1150.09997558594,1166.55004882812,705142,1136.30603027344
"397",1172,1174.44995117188,1136.65002441406,1142.05004882812,420232,1112.44116210938
"398",1142.05004882812,1173.5,1134,1162.80004882812,433149,1132.65295410156
"399",1152.09997558594,1174.80004882812,1140.55004882812,1160.09997558594,348434,1130.02294921875
"400",1167,1188,1161.09997558594,1166.94995117188,303528,1136.69543457031
"401",1168.09997558594,1172.75,1148,1167.90002441406,254073,1137.62072753906
"402",1165,1167.90002441406,1145.34997558594,1151.90002441406,248810,1122.03564453125
"403",1156.94995117188,1161.19995117188,1128.34997558594,1139.25,244904,1109.71362304688
