"","DLF.NS.Open","DLF.NS.High","DLF.NS.Low","DLF.NS.Close","DLF.NS.Volume","DLF.NS.Adjusted"
"1043",361.549987792969,367.25,355.649993896484,356.950012207031,7304162,349.392974853516
"1044",354.100006103516,361.25,352,356.600006103516,4111307,349.050384521484
"1045",357,366,356.100006103516,365.100006103516,9141134,357.370422363281
"1046",368.850006103516,368.850006103516,356.200012207031,363.799987792969,5946994,356.097930908203
"1047",365.649993896484,373.600006103516,364.549987792969,372.950012207031,9088475,365.054229736328
"1048",375.950012207031,387.450012207031,374.549987792969,382.850006103516,10688708,374.744659423828
"1049",382.700012207031,385.799987792969,378.450012207031,380.450012207031,5537751,372.395477294922
"1050",380,387.700012207031,378.850006103516,385.950012207031,3250273,377.779022216797
"1051",386.950012207031,390.399993896484,383.799987792969,387.299987792969,3264802,379.100402832031
"1052",389,396.600006103516,385.549987792969,394.200012207031,10310506,385.854370117188
"1053",391,403.399993896484,390.25,398.049987792969,8671174,389.622833251953
"1054",403.899993896484,407.5,397.399993896484,401.25,8931310,392.755096435547
"1055",403.649993896484,405,395,396.100006103516,6519357,387.714141845703
"1056",393.100006103516,404.899993896484,393.100006103516,403.200012207031,7340278,394.663818359375
"1057",403,403.899993896484,388.75,393.549987792969,4854926,385.218078613281
"1058",395,399.399993896484,389.649993896484,391.299987792969,2465488,383.015747070312
"1059",385.850006103516,390.600006103516,379.25,388.850006103516,4551203,380.617614746094
"1060",390.100006103516,391.75,372,377.799987792969,3938936,369.801544189453
"1061",379,382.75,373.600006103516,377.700012207031,3247779,369.703704833984
"1062",380,390.850006103516,379.200012207031,389.850006103516,3935746,381.596435546875
"1063",387.399993896484,389,378.450012207031,379.700012207031,2971828,371.661346435547
"1064",375,375.700012207031,361.100006103516,364,4987646,356.293731689453
"1065",369,382.649993896484,367.149993896484,378.799987792969,5510832,370.780364990234
"1066",375,377.899993896484,368.350006103516,375.75,3787448,367.794952392578
"1067",381,381,371,379.649993896484,3951298,371.612365722656
"1068",382,386.399993896484,368.25,371.850006103516,4463995,363.9775390625
"1069",367.5,371.700012207031,364.200012207031,367.549987792969,3606478,359.7685546875
"1070",370.100006103516,372.799987792969,346.600006103516,348.399993896484,6741897,341.023956298828
"1071",349,352.350006103516,337.850006103516,340,8172183,332.801818847656
"1072",328.049987792969,336.950012207031,326.299987792969,329.149993896484,10554131,322.181549072266
"1073",329.149993896484,332.649993896484,324.350006103516,327.200012207031,5588545,320.272827148438
"1074",328.950012207031,338.5,316.5,318.200012207031,7809598,311.463348388672
"1075",322.100006103516,328.299987792969,313.600006103516,326.25,9584712,319.342956542969
"1076",324,325.700012207031,315.899993896484,322.200012207031,7826298,315.378692626953
"1077",328.100006103516,332.799987792969,317.25,318.899993896484,5040759,312.148529052734
"1078",321,331.5,317.549987792969,327.350006103516,4588718,320.419647216797
"1079",328.350006103516,336.299987792969,323.600006103516,334.100006103516,5294509,327.026733398438
"1080",337.200012207031,344.899993896484,323.649993896484,324.950012207031,15907792,318.070465087891
"1081",317,325.799987792969,309.049987792969,320.600006103516,10108593,313.812561035156
"1082",326,336.5,323,331.5,8095291,324.481781005859
"1083",334.549987792969,339.950012207031,329,330.899993896484,6456879,323.894470214844
"1084",331.450012207031,333.75,323.100006103516,324.5,3843952,317.629974365234
"1085",326.799987792969,328.799987792969,307.75,312,7080643,305.394622802734
"1086",310.5,329.200012207031,302.299987792969,319.850006103516,8037300,313.078430175781
"1087",324,329.799987792969,319.149993896484,324.549987792969,5042715,317.678894042969
"1088",329.399993896484,347.850006103516,327.200012207031,346.850006103516,9568306,339.506805419922
"1089",345.5,350.299987792969,342.350006103516,345.549987792969,10568070,338.234313964844
"1090",346.399993896484,348.850006103516,333.600006103516,337,5551017,329.865325927734
"1091",336.399993896484,341.450012207031,334.549987792969,340.25,4326789,333.046508789062
"1092",342.25,343.5,329.600006103516,330.649993896484,5573119,323.649780273438
"1093",329.799987792969,330.450012207031,323.049987792969,326.850006103516,4693011,319.930236816406
"1094",325.799987792969,325.799987792969,315.100006103516,318.75,5097864,312.001708984375
"1095",319.5,331.600006103516,316.200012207031,326.200012207031,9732471,319.294006347656
"1096",324.450012207031,327,321.100006103516,324.850006103516,3304352,317.972564697266
"1097",321.950012207031,325.899993896484,319.399993896484,322.100006103516,3525590,315.280792236328
"1098",315,315.700012207031,305,307.700012207031,7361749,301.185668945312
"1099",307,319.299987792969,304.049987792969,313.850006103516,6307163,307.205444335938
