"","ABB.NS.Open","ABB.NS.High","ABB.NS.Low","ABB.NS.Close","ABB.NS.Volume","ABB.NS.Adjusted"
"206",1132.64453125,1169.73059082031,1103.04833984375,1161.28747558594,406064,1120.83422851562
"207",1171.1376953125,1233.78002929688,1164.646484375,1196.14916992188,455074,1154.48168945312
"208",1230.14855957031,1249.21362304688,1187.70617675781,1196.69396972656,203584,1155.00756835938
"209",1202.91271972656,1212.58142089844,1180.21630859375,1186.52587890625,74360,1145.19372558594
"210",1197.46557617188,1208.35998535156,1182.30432128906,1184.89172363281,108438,1143.61633300781
"211",1190.5205078125,1207.2705078125,1189.294921875,1203.82067871094,17391,1161.8857421875
"212",1207.45202636719,1207.45202636719,1183.84777832031,1187.52453613281,74936,1146.15734863281
"213",1199.28137207031,1199.28137207031,1180.21630859375,1186.93444824219,87266,1145.587890625
"214",1184.75561523438,1198.55505371094,1174.36059570312,1178.12817382812,41140,1137.08837890625
"215",1189.24951171875,1194.60583496094,1166.91613769531,1169.00427246094,319781,1128.28234863281
"216",1176.53942871094,1193.74340820312,1166.59838867188,1172.6357421875,168342,1131.78735351562
"217",1176.58483886719,1207.40661621094,1176.58483886719,1201.00622558594,61777,1159.16943359375
"218",1202.91271972656,1233.78002929688,1202.91271972656,1226.24475097656,212514,1183.52893066406
"219",1223.79357910156,1225.60925292969,1213.71630859375,1218.98181152344,41394,1176.51892089844
"220",1223.33959960938,1224.51977539062,1201.14245605469,1217.6201171875,31080,1175.20458984375
"221",1217.6201171875,1235.82263183594,1206.54418945312,1221.3876953125,71423,1178.8408203125
"222",1225.65466308594,1239.99877929688,1211.44665527344,1224.42907714844,52835,1181.77624511719
"223",1224.70141601562,1237.77453613281,1220.162109375,1231.05639648438,37254,1188.17272949219
"224",1231.10180664062,1275.49609375,1221.06994628906,1270.18505859375,296500,1225.9384765625
"225",1277.81115722656,1286.93505859375,1248.3056640625,1258.564453125,96469,1214.72253417969
"226",1262.15051269531,1281.9873046875,1247.44323730469,1278.90051269531,150394,1234.35009765625
"227",1280.08081054688,1288.25146484375,1252.84497070312,1261.197265625,38145,1217.263671875
"228",1263.7392578125,1271.00219726562,1249.21362304688,1254.7060546875,25208,1210.99853515625
