"","HAVELLS.NS.Open","HAVELLS.NS.High","HAVELLS.NS.Low","HAVELLS.NS.Close","HAVELLS.NS.Volume","HAVELLS.NS.Adjusted"
"1051",1178,1190.94995117188,1174.34997558594,1180.30004882812,712219,1162.0546875
"1052",1187,1264.94995117188,1183.59997558594,1258.65002441406,3238425,1239.193359375
"1053",1258.65002441406,1264,1240.84997558594,1251.84997558594,845250,1232.49853515625
"1054",1251.80004882812,1282.80004882812,1246,1249.19995117188,1208629,1229.88940429688
"1055",1265.5,1278.84997558594,1252.25,1267.94995117188,741622,1248.349609375
"1056",1267.94995117188,1286.94995117188,1259.25,1275.19995117188,759966,1255.48742675781
"1057",1272,1278,1251.05004882812,1255.80004882812,844897,1236.38745117188
"1058",1256,1279.34997558594,1247.75,1273.69995117188,602668,1254.0107421875
"1059",1268.94995117188,1297.90002441406,1260.69995117188,1279.80004882812,1154240,1260.0166015625
"1060",1281,1305.80004882812,1266.94995117188,1285.80004882812,1033067,1265.92395019531
"1061",1290,1304.69995117188,1277.69995117188,1299.34997558594,732477,1279.26440429688
"1062",1310.94995117188,1329.94995117188,1297.05004882812,1320.75,795979,1300.33349609375
"1063",1319,1330,1307.80004882812,1316.30004882812,514639,1295.95227050781
"1064",1301,1312.55004882812,1287,1301.90002441406,691797,1281.77478027344
"1065",1308.19995117188,1329.40002441406,1296.05004882812,1325.94995117188,1014769,1305.453125
"1066",1313.40002441406,1344.69995117188,1313,1316,1444594,1295.65686035156
"1067",1321,1336,1307.69995117188,1317.09997558594,920708,1296.73974609375
"1068",1324,1326,1300,1311.80004882812,875714,1291.52172851562
"1069",1295,1310.90002441406,1282.84997558594,1289.84997558594,782353,1269.9111328125
"1070",1292,1293.94995117188,1249.84997558594,1253,1052210,1233.630859375
"1071",1265,1288.19995117188,1227.05004882812,1249.09997558594,1569668,1229.79113769531
"1072",1225.55004882812,1253.75,1205.25,1238.55004882812,1004903,1219.404296875
"1073",1235.19995117188,1236,1193.25,1215.5,858791,1196.71044921875
"1074",1199,1231.65002441406,1199,1224.30004882812,1059607,1205.37451171875
