"","TATAPOWER.NS.Open","TATAPOWER.NS.High","TATAPOWER.NS.Low","TATAPOWER.NS.Close","TATAPOWER.NS.Volume","TATAPOWER.NS.Adjusted"
"621",49.0999984741211,49.0999984741211,46.9000015258789,48.1500015258789,29076620,46.5290069580078
"622",48.5,49,46.7999992370605,47.1500015258789,18652944,45.5626754760742
"623",47,47.7000007629395,45.9500007629395,46.7000007629395,17980227,45.1278228759766
"624",47.2000007629395,49.5999984741211,47.2000007629395,49.2999992370605,31130208,47.6402893066406
"625",50,50,48.75,49.0499992370605,16776010,47.3987083435059
"626",49.5,49.5,48.5499992370605,48.8499984741211,11941105,47.2054443359375
"627",48.6500015258789,51.4500007629395,48.5499992370605,50.0499992370605,30638769,48.3650398254395
"628",50,50.3499984741211,49.5499992370605,50,18215827,48.3167266845703
"629",49.9500007629395,50.4000015258789,48.6500015258789,48.9000015258789,15734602,47.2537574768066
"630",48.7999992370605,50.4000015258789,47.7000007629395,49.5,26232020,47.8335571289062
"631",49.6500015258789,50.4000015258789,48.5499992370605,49.1500015258789,19972698,47.4953422546387
"632",49.25,50.3499984741211,49.2000007629395,49.75,18443993,48.0751419067383
"633",49.75,50.25,47.5999984741211,48,23600645,46.3840599060059
"634",48.0499992370605,49,47.5,48.7000007629395,19704630,47.0604934692383
"635",48.7999992370605,49.5,48.3499984741211,48.75,10560743,47.1088104248047
"636",49.2000007629395,50.4500007629395,49.0999984741211,49.7000007629395,25280637,48.0268249511719
"637",49.9500007629395,49.9500007629395,48.6500015258789,48.9500007629395,14901694,47.302074432373
"638",49,50.0999984741211,48.5,49.4000015258789,22695057,47.7369270324707
"639",49.3499984741211,50.5999984741211,49.0999984741211,49.7000007629395,20079095,48.0268249511719
"640",49.7999992370605,51.9000015258789,49.7999992370605,51.4500007629395,27048138,49.7179145812988
"641",51.9500007629395,52.5999984741211,51.0999984741211,51.9000015258789,20281106,50.1527633666992
"642",51.9000015258789,53.5999984741211,51.2000007629395,52.9500007629395,26298038,51.1674118041992
"643",55,57.9000015258789,52.5499992370605,56.0999984741211,112756334,54.2113647460938
"644",56.4500007629395,57.2000007629395,54.5,54.9500007629395,39660917,53.1000862121582
"645",55.5,56.3499984741211,54.8499984741211,56.0499992370605,22574630,54.1630516052246
"646",56.2000007629395,56.4000015258789,55,55.6500015258789,24508088,53.7765159606934
"647",56,58.25,55.7999992370605,56.7000007629395,48760656,54.7911682128906
"648",56.1500015258789,62.2999992370605,56,61.4000015258789,117113064,59.3329391479492
"649",62.5,63.4000015258789,61.7000007629395,61.9500007629395,64263094,59.864429473877
"650",62.3499984741211,62.7000007629395,60.1500015258789,60.9000015258789,36278735,58.8497772216797
"651",61,61.7000007629395,59.0499992370605,60,45582317,57.9800682067871
"652",60.2999992370605,63.25,60,62.6500015258789,73743638,60.5408554077148
"653",63.0999984741211,63.25,61.3499984741211,61.5999984741211,28622558,59.5262031555176
"654",62.0999984741211,62.25,60.2999992370605,61.2000007629395,21774977,59.1396751403809
"655",61.4000015258789,61.75,57.9000015258789,58.75,36839728,56.7721557617188
"656",59.5999984741211,60.4500007629395,58.2000007629395,59.5,43683296,57.4969024658203
"657",59.6500015258789,61.3499984741211,58.8499984741211,60.9500007629395,25823443,58.8980903625488
"658",60.9500007629395,61.5999984741211,59.9000015258789,60.7000007629395,23071103,58.6565055847168
"659",60,60.25,58.2000007629395,58.9000015258789,20139542,56.917106628418
"660",58.9500007629395,59.4000015258789,56.0999984741211,57.4000015258789,26138463,55.4676055908203
"661",57.7000007629395,58.2000007629395,54.6500015258789,55.2000007629395,24213780,53.341667175293
"662",54.0499992370605,56.1500015258789,52.5,55.6500015258789,36318169,53.7765159606934
"663",56.4500007629395,57.2000007629395,54.7000007629395,55.4500007629395,30550597,53.5832481384277
"664",55,57.1500015258789,54.7999992370605,56.7000007629395,22160341,54.7911682128906
"665",56.9000015258789,58.4000015258789,56.4500007629395,57.0999984741211,22921566,55.1777000427246
"666",57.4500007629395,58.75,57.0999984741211,57.75,18732445,55.8058204650879
"667",58.0499992370605,58.2999992370605,56.5499992370605,56.7999992370605,18216129,54.8877983093262
"668",57.3499984741211,58.1500015258789,56.3499984741211,56.75,27360333,54.839485168457
"669",57.0499992370605,57.3499984741211,55.75,56.2000007629395,15697096,54.3080024719238
"670",56.0499992370605,56.2000007629395,52.5,53,27253422,51.2157287597656
