"","POWERGRID.NS.Open","POWERGRID.NS.High","POWERGRID.NS.Low","POWERGRID.NS.Close","POWERGRID.NS.Volume","POWERGRID.NS.Adjusted"
"1219",167.137496948242,168.074996948242,165.337493896484,165.787506103516,5813973,149.860656738281
"1220",166.350006103516,166.387496948242,162.675003051758,163.350006103516,11176439,147.657318115234
"1221",163.800003051758,164.212493896484,161.774993896484,162.899993896484,6020031,147.250549316406
"1222",162,163.5,160.949996948242,161.662506103516,8194429,146.131912231445
"1223",161.662506103516,162.600006103516,159.787506103516,162.225006103516,8235450,146.640396118164
"1224",162.225006103516,165.412506103516,162.225006103516,164.399993896484,10055353,148.606430053711
"1225",164.625,165.300003051758,161.925003051758,162.262496948242,5385778,146.674270629883
"1226",161.25,163.649993896484,159.449996948242,159.899993896484,11166617,144.53874206543
"1227",160.537506103516,164.399993896484,160.125,164.175003051758,7758862,148.403076171875
"1228",164.175003051758,164.175003051758,160.425003051758,162.975006103516,6541929,147.318328857422
