"","JSWSTEEL.NS.Open","JSWSTEEL.NS.High","JSWSTEEL.NS.Low","JSWSTEEL.NS.Close","JSWSTEEL.NS.Volume","JSWSTEEL.NS.Adjusted"
"616",194.699996948242,194.75,190.25,190.850006103516,6564431,181.149047851562
"617",191,202,191,195.350006103516,22609621,185.420318603516
"618",196.350006103516,202.75,196.100006103516,197.449996948242,14801828,187.413558959961
"619",196,196,191,193.300003051758,10893405,183.474502563477
"620",195.399993896484,199.800003051758,195.25,198.399993896484,11050735,188.31526184082
"621",198,198.399993896484,191.649993896484,194.050003051758,7233291,184.186386108398
"622",196,199.850006103516,193.399993896484,194.899993896484,9389574,184.9931640625
"623",194,201.899993896484,192.600006103516,201.149993896484,13647306,190.925476074219
"624",203.199996948242,211.800003051758,202.649993896484,206.75,23873501,196.240844726562
"625",207.5,208.850006103516,204,206.800003051758,6380397,196.288299560547
"626",208,210.75,204.149993896484,209.949996948242,5672048,199.278182983398
"627",211,214,204.100006103516,207,9323617,196.478118896484
"628",206.899993896484,210.5,205.449996948242,209.350006103516,5251159,198.708694458008
"629",206,211.600006103516,203.25,205,8215298,194.579788208008
"630",202.050003051758,208.5,200.100006103516,206.949996948242,10548105,196.4306640625
"631",208.100006103516,215.75,207.449996948242,214.899993896484,9785198,203.9765625
"632",214.050003051758,220.949996948242,213.850006103516,217.550003051758,11276308,206.491882324219
"633",218.649993896484,221.949996948242,213.149993896484,214.350006103516,6483799,203.454528808594
"634",214.5,221.25,213.300003051758,220.25,7306693,209.054626464844
"635",221,225.449996948242,218.649993896484,220.550003051758,9867115,209.339385986328
"636",221.550003051758,229.25,219.149993896484,228.100006103516,9878205,216.505615234375
"637",228.5,236.199996948242,228.149993896484,235.149993896484,11076862,223.197250366211
"638",235,239.949996948242,232.5,239.5,10772820,227.326141357422
"639",236.800003051758,241,235.800003051758,240.199996948242,6794779,227.99055480957
"640",241,246.350006103516,238.550003051758,245.199996948242,6482352,232.736389160156
"641",246.5,255.5,246.300003051758,253.75,15124909,240.851806640625
"642",252,257.899993896484,249.050003051758,256.799987792969,8055616,243.74674987793
"643",258.100006103516,264,255.850006103516,258.600006103516,14516418,245.455291748047
"644",259,267.299987792969,257.549987792969,265.350006103516,13200307,251.862197875977
"645",266.899993896484,271.25,263.200012207031,269.600006103516,10757867,255.896133422852
"646",270.600006103516,279.200012207031,267.350006103516,277.149993896484,10683706,263.062408447266
"647",278,279.899993896484,274.200012207031,278.549987792969,10287307,264.391204833984
"648",273,284.5,271.149993896484,282.649993896484,11325005,268.282806396484
"649",284.350006103516,288,280.350006103516,281.899993896484,10884179,267.570922851562
"650",284.149993896484,287.25,282.600006103516,285.75,9488675,271.225250244141
"651",286.549987792969,287.25,280.149993896484,284.899993896484,7787006,270.418426513672
"652",285.5,286.850006103516,283.149993896484,286.200012207031,5278655,271.652374267578
"653",285.350006103516,290.75,283.799987792969,289.299987792969,5931448,274.594787597656
"654",285.5,289.75,280.049987792969,280.700012207031,11914490,266.431945800781
"655",281,281.75,268.450012207031,269.799987792969,19774736,256.0859375
"656",269.799987792969,288.5,269.049987792969,286.799987792969,13679100,272.221862792969
"657",288.5,294,285.049987792969,293,11710724,278.106689453125
"658",293,295.850006103516,290.850006103516,293.399993896484,6425365,278.486389160156
"659",286.049987792969,291.25,280.549987792969,282.350006103516,8443061,267.998077392578
"660",281,287.75,278.850006103516,286.5,8634438,271.937133789062
"661",286,288.399993896484,278.399993896484,281.149993896484,7609074,266.859069824219
"662",273.200012207031,288.5,272.450012207031,286.850006103516,14099249,272.269348144531
"663",289.350006103516,290.25,278.450012207031,285.350006103516,9369826,270.845581054688
"664",283.950012207031,289,282.700012207031,287.799987792969,6485991,273.171020507812
"665",287.100006103516,293.950012207031,285.600006103516,289.850006103516,7275752,275.116851806641
"666",290.950012207031,294.549987792969,288.75,289.600006103516,6682215,274.879547119141
"667",289,291.700012207031,286.299987792969,288.649993896484,6090447,273.977813720703
"668",286,288.799987792969,283.149993896484,286.850006103516,5287608,272.269348144531
"669",285.299987792969,293.549987792969,284.450012207031,287.700012207031,9911089,273.076110839844
"670",289.399993896484,290.299987792969,270.049987792969,271.299987792969,7522304,257.509735107422
"671",269.299987792969,275.149993896484,262.700012207031,271.899993896484,13246982,258.079223632812
"672",274.899993896484,274.899993896484,263.649993896484,268.200012207031,8444261,254.567352294922
"673",263.049987792969,264.950012207031,257.549987792969,258.549987792969,7984730,245.407821655273
"674",261.100006103516,270.450012207031,258.799987792969,268.350006103516,6842615,254.709701538086
"675",270.950012207031,278.799987792969,269.149993896484,277,5470078,262.919982910156
"676",277,286.799987792969,276.049987792969,284.100006103516,11242724,269.659118652344
"677",283.200012207031,284.950012207031,275,277.75,6288603,263.631866455078
"678",281.450012207031,286.649993896484,278.25,282.049987792969,4873599,267.713287353516
"679",284.299987792969,292,282.450012207031,290.100006103516,9269669,275.354125976562
"680",292.75,295,286.700012207031,291.350006103516,9592838,276.540588378906
"681",290,293.799987792969,287.200012207031,291.450012207031,8126575,276.635528564453
"682",291.5,298.399993896484,287.649993896484,292.950012207031,11623030,278.059295654297
"683",293.149993896484,298.350006103516,291.049987792969,292,7301282,277.157562255859
"684",294.899993896484,294.899993896484,279.350006103516,285.149993896484,10299648,270.655731201172
"685",285,291.100006103516,283.950012207031,289.950012207031,7541780,275.211791992188
"686",289.25,292,285.5,290.649993896484,6525761,275.876159667969
"687",291.799987792969,297.700012207031,289.200012207031,291.549987792969,10663375,276.730407714844
"688",291.5,312.450012207031,290.75,311.049987792969,19877383,295.239196777344
"689",314.200012207031,318.100006103516,307.700012207031,313.5,18884145,297.564666748047
"690",310,319.799987792969,308.600006103516,318.700012207031,10739805,302.500396728516
"691",320.75,324.299987792969,314.75,322.950012207031,11914326,306.534332275391
"692",322,327.049987792969,319.5,325.5,8493745,308.954711914062
"693",326,327.299987792969,319.899993896484,321.25,7402260,304.920745849609
"694",314,315.799987792969,304.350006103516,308.299987792969,15424754,292.629028320312
"695",308.350006103516,312.450012207031,303.149993896484,308.950012207031,7123843,293.246032714844
"696",309.049987792969,315.149993896484,304,305.850006103516,8888276,290.303588867188
"697",302.799987792969,308.549987792969,299.600006103516,306.799987792969,6945269,291.205261230469
"698",306.5,312.899993896484,304,309,7786860,293.293426513672
"699",311.450012207031,312,306.549987792969,309.350006103516,7660136,293.625640869141
"700",311.899993896484,316.100006103516,311,314.75,5951181,298.751159667969
"701",314.75,318.700012207031,311.75,317.850006103516,7627927,301.693603515625
"702",322.200012207031,328.899993896484,317.700012207031,327.700012207031,6640466,311.042938232422
"703",326.850006103516,330.649993896484,322.299987792969,326.450012207031,6994007,309.8564453125
"704",330,334.200012207031,326.25,333.100006103516,6297158,316.16845703125
"705",333,337.649993896484,330.350006103516,334.799987792969,6004813,317.781982421875
"706",336,344.75,332,342.75,9211868,325.327911376953
"707",343.75,344.399993896484,335,338,5061012,320.8193359375
"708",337.049987792969,344.25,334.25,343.200012207031,5043441,325.755065917969
"709",344.100006103516,344.950012207031,340.100006103516,341.950012207031,975283,324.568572998047
"710",343.899993896484,350.5,339.600006103516,340.950012207031,7389747,323.619415283203
"711",338.950012207031,346,338.350006103516,342.600006103516,4844406,325.185546875
"712",339.899993896484,346.350006103516,329.149993896484,331.200012207031,7370265,314.365020751953
"713",332,339,329.299987792969,336.149993896484,5918276,319.063354492188
"714",338.25,342.299987792969,336,337.75,4559744,320.582092285156
"715",338.899993896484,342.25,334.100006103516,340.850006103516,5014303,323.524475097656
"716",343.5,345.899993896484,337,338.25,6195795,321.056671142578
"717",338.5,362.200012207031,336,359.200012207031,10967276,340.941741943359
"718",361.299987792969,362,347.649993896484,350.200012207031,14338746,332.399230957031
"719",354.5,359,351.850006103516,358.149993896484,6475456,339.945129394531
"720",357,370.75,356.049987792969,368.399993896484,11048627,349.674133300781
"721",370,374.299987792969,367.700012207031,370.850006103516,7385497,351.999572753906
"722",373,376.200012207031,363.200012207031,370.399993896484,7570516,351.572448730469
"723",370.799987792969,373.200012207031,362.299987792969,365,6085158,346.446960449219
"724",366.5,367.200012207031,357.549987792969,362.649993896484,5311652,344.216369628906
"725",368,368.25,359.100006103516,361.850006103516,6923848,343.457061767578
