"","COFORGE.NS.Open","COFORGE.NS.High","COFORGE.NS.Low","COFORGE.NS.Close","COFORGE.NS.Volume","COFORGE.NS.Adjusted"
"455",1530,1594.75,1530,1572.65002441406,231176,1467.66174316406
"456",1573,1578.19995117188,1479.05004882812,1483.19995117188,349897,1384.18359375
"457",1487,1509.80004882812,1465.80004882812,1504.69995117188,296070,1404.24816894531
"458",1510,1520,1473.80004882812,1491.09997558594,161514,1391.55603027344
"459",1480,1527.5,1477.5,1519.09997558594,198031,1417.68676757812
"460",1519.5,1535.94995117188,1509.75,1529,116406,1426.92602539062
"461",1529.15002441406,1554.30004882812,1498.05004882812,1508.80004882812,279059,1408.07409667969
"462",1518,1525,1490,1498.69995117188,82586,1398.6484375
"463",1505,1509.90002441406,1473.5,1484.15002441406,137374,1385.07006835938
"464",1486.69995117188,1507.15002441406,1475.80004882812,1500.05004882812,103697,1399.90869140625
"465",1504.40002441406,1504.40002441406,1452.40002441406,1484.90002441406,380327,1385.77001953125
"466",1484,1506.90002441406,1480.90002441406,1493.90002441406,77325,1394.16931152344
"467",1490,1512.40002441406,1484.55004882812,1504.90002441406,166495,1404.43469238281
"468",1504.90002441406,1516.5,1482.05004882812,1490.94995117188,66093,1391.41613769531
"469",1480.94995117188,1495,1454.30004882812,1462.09997558594,124662,1364.4921875
"470",1455.09997558594,1470.44995117188,1440.80004882812,1446.40002441406,109134,1349.84008789062
"471",1443.84997558594,1472.44995117188,1439,1467.44995117188,144873,1369.48486328125
"472",1464,1515.65002441406,1463,1485.19995117188,367759,1386.05004882812
"473",1488,1494.94995117188,1459,1464.15002441406,76842,1366.40502929688
"474",1464.69995117188,1482,1451,1475.94995117188,106498,1377.41748046875
"475",1471.34997558594,1475.34997558594,1418.65002441406,1437.75,245334,1341.76770019531
"476",1437.90002441406,1497,1437.90002441406,1486.55004882812,381538,1387.30993652344
"477",1480,1492.84997558594,1470.05004882812,1484.25,93421,1385.16333007812
"478",1478,1495,1462.69995117188,1490.59997558594,167754,1391.08935546875
"479",1488,1512.34997558594,1464.65002441406,1473.40002441406,261216,1375.03759765625
"480",1503,1643.30004882812,1492.05004882812,1604.94995117188,4180592,1497.8056640625
"481",1604.44995117188,1628.90002441406,1580,1602.59997558594,2154599,1495.6123046875
"482",1587,1606.19995117188,1575.19995117188,1580.34997558594,534903,1474.84777832031
"483",1583,1602,1567.65002441406,1582.80004882812,548840,1477.13415527344
"484",1580,1604.94995117188,1572.40002441406,1578.55004882812,440209,1473.16857910156
"485",1564,1626.40002441406,1556.59997558594,1597.84997558594,2916222,1491.17919921875
"486",1615,1619.94995117188,1601,1609.19995117188,893767,1501.77185058594
"487",1612,1619.94995117188,1579.40002441406,1583.05004882812,467070,1477.36755371094
"488",1581,1601,1581,1586.40002441406,300609,1480.494140625
"489",1584,1601.44995117188,1578.55004882812,1589.84997558594,247638,1483.71350097656
"490",1589.84997558594,1597.90002441406,1573.19995117188,1578.19995117188,154125,1472.84155273438
"491",1581.75,1588.40002441406,1573.05004882812,1579.5,163571,1474.0546875
"492",1582,1640,1582,1630.94995117188,1181414,1522.06982421875
"493",1626.94995117188,1661,1621.15002441406,1647.75,983061,1537.74816894531
"494",1659,1666,1645.55004882812,1655.75,486953,1545.21447753906
"495",1652.94995117188,1777,1645,1726.55004882812,1233375,1611.28759765625
"496",1740,1778,1726.90002441406,1753.65002441406,826968,1636.57861328125
"497",1747.84997558594,1764.90002441406,1711.05004882812,1725.5,450735,1610.30749511719
"498",1724.90002441406,1789.94995117188,1712.09997558594,1774.75,536820,1656.27001953125
"499",1774.5,1818,1765.40002441406,1807,687344,1686.3671875
"500",1805,1819.90002441406,1775,1804.55004882812,438185,1684.08068847656
"501",1804,1804.44995117188,1765.80004882812,1782.94995117188,323490,1663.92248535156
"502",1782,1818.90002441406,1777.80004882812,1799.09997558594,263017,1678.99450683594
"503",1803,1805,1773.94995117188,1781.19995117188,134513,1662.28930664062
"504",1787.40002441406,1818,1775.15002441406,1801.65002441406,374093,1681.37426757812
"505",1803.30004882812,1896,1801.75,1872.65002441406,1210892,1747.63427734375
"506",1872,2059.5,1857.40002441406,1979.05004882812,1207141,1846.93139648438
"507",1976.09997558594,1979.05004882812,1900.15002441406,1932.05004882812,1196651,1803.06872558594
"508",1929,1957,1912,1948.84997558594,428335,1818.74719238281
"509",1951,2034,1950,2009.09997558594,1231656,1874.97509765625
"510",2009.09997558594,2042.55004882812,1921,1941.05004882812,1845201,1811.46813964844
"511",1935,1935,1832.05004882812,1849,1514678,1725.56311035156
"512",1865,1964.59997558594,1854.05004882812,1942.44995117188,1129204,1812.7744140625
"513",1879.90002441406,1917.90002441406,1868.75,1885.40002441406,341567,1759.533203125
"514",1899.90002441406,1950,1897.59997558594,1922.59997558594,458477,1794.24963378906
"515",1929.94995117188,1970.69995117188,1921.34997558594,1935.44995117188,366975,1806.24169921875
"516",1953,1956.94995117188,1880.44995117188,1899.5,244162,1772.69165039062
"517",1910.80004882812,1938,1876.19995117188,1885.75,364726,1769.17358398438
"518",1890,1896,1833.05004882812,1857.94995117188,268670,1743.09204101562
"519",1861.84997558594,1881.90002441406,1823.30004882812,1830.40002441406,233960,1717.24523925781
"520",1836,1857.19995117188,1781.19995117188,1833.65002441406,490258,1720.29443359375
"521",1832,1837.5,1800,1820.19995117188,620623,1707.67578125
"522",1825,1869.30004882812,1825,1835.65002441406,453478,1722.17065429688
"523",1846.44995117188,1855.90002441406,1792.84997558594,1824.19995117188,208806,1711.4287109375
"524",1827.90002441406,1853.69995117188,1806,1848.55004882812,278478,1734.2734375
"525",1850.55004882812,1908.90002441406,1844.55004882812,1882.59997558594,666656,1766.21826171875
