"","SUNPHARMA.NS.Open","SUNPHARMA.NS.High","SUNPHARMA.NS.Low","SUNPHARMA.NS.Close","SUNPHARMA.NS.Volume","SUNPHARMA.NS.Adjusted"
"1010",890,898.450012207031,882,890.650024414062,4404741,863.46435546875
"1011",889.349975585938,891.200012207031,880.450012207031,883.549987792969,2292825,856.5810546875
"1012",882.900024414062,902.849975585938,881.349975585938,893.950012207031,4222492,866.663696289062
"1013",901.450012207031,901.450012207031,879.700012207031,887.049987792969,3494623,859.974243164062
"1014",886,895.950012207031,882,894.099975585938,4766558,866.80908203125
"1015",893.900024414062,894.549987792969,885.349975585938,886.450012207031,2874380,866.173950195312
"1016",891.400024414062,896.25,880,894.299987792969,3159839,873.844421386719
"1017",894.599975585938,895.799987792969,874.650024414062,880.099975585938,2682532,859.96923828125
"1018",870,886.650024414062,862.200012207031,864.849975585938,5163415,845.068054199219
"1019",862.5,880,859.049987792969,876.799987792969,3219287,856.744689941406
"1020",876,881.150024414062,867.099975585938,868.849975585938,2136415,848.976440429688
"1021",872.349975585938,872.349975585938,861.299987792969,862.549987792969,2275289,842.820617675781
"1022",862.549987792969,867.900024414062,856.400024414062,862.900024414062,1797851,843.162658691406
"1023",855.5,864,839.5,843.849975585938,2305713,824.54833984375
"1024",836,849,824.599975585938,845.799987792969,3171552,826.453735351562
"1025",849.849975585938,853,838.049987792969,840.25,1979574,821.03076171875
"1026",830.599975585938,836.950012207031,815,818.25,3679222,799.533874511719
"1027",820.5,835,817.049987792969,831.549987792969,2098988,812.529724121094
"1028",821,847,821,843.900024414062,4123139,824.597290039062
"1029",844.349975585938,844.950012207031,815.700012207031,820.900024414062,3807036,802.123291015625
"1030",832.799987792969,832.799987792969,817,820.900024414062,2657776,802.123291015625
"1031",816.299987792969,839.599975585938,809.349975585938,829.650024414062,4082674,810.673217773438
"1032",818,829,809.099975585938,822.650024414062,3065234,803.833312988281
"1033",826.200012207031,861.700012207031,826.200012207031,855,4864275,835.443359375
"1034",863.400024414062,885.799987792969,860,868.25,7276355,848.390197753906
"1035",869.900024414062,881.900024414062,866.599975585938,869.549987792969,2899758,849.660522460938
"1036",872,907,869.049987792969,902,7194497,881.368286132812
"1037",901.950012207031,911.799987792969,889.950012207031,892.25,3861194,871.84130859375
"1038",893.700012207031,908,881.349975585938,891.650024414062,4039746,871.255065917969
"1039",900,900,880.450012207031,889.200012207031,3134307,868.861022949219
"1040",892.200012207031,915,892.200012207031,911.599975585938,5484100,890.748718261719
"1041",912.5,931,911.299987792969,913.799987792969,3878744,892.898315429688
"1042",913.799987792969,922,902.5,914.099975585938,2174495,893.191467285156
"1043",918,926,895.799987792969,900.799987792969,2578669,880.195739746094
"1044",886,914.700012207031,885.5,908.849975585938,3141478,888.061584472656
"1045",911.849975585938,914.950012207031,896.299987792969,902.349975585938,1571676,881.710205078125
"1046",908.900024414062,910.900024414062,899.299987792969,905.900024414062,1545077,885.179138183594
"1047",908.049987792969,922,901.099975585938,919.349975585938,3177777,898.321472167969
"1048",922,922,908.400024414062,920.599975585938,2084073,899.542846679688
"1049",920.599975585938,927,910.799987792969,914.75,1901705,893.82666015625
"1050",914,919,904.099975585938,908.700012207031,1184766,887.915100097656
"1051",908,928.799987792969,902.599975585938,926.049987792969,1876408,904.8681640625
"1052",928,940.700012207031,924.150024414062,929.099975585938,2911697,907.848388671875
"1053",927.799987792969,938.799987792969,925,928.099975585938,1881754,906.871276855469
"1054",928.099975585938,948,926.849975585938,930.950012207031,2728625,909.656066894531
"1055",937,937.299987792969,919.299987792969,924.599975585938,1453271,903.451293945312
"1056",920,933.549987792969,918.599975585938,925.400024414062,1102625,904.233093261719
"1057",920,928.150024414062,911.400024414062,921.299987792969,1420380,900.226806640625
"1058",921.299987792969,943,921.299987792969,936.75,1825531,915.323425292969
"1059",927.599975585938,941.049987792969,919.25,927.5,1287320,906.285034179688
"1060",930.950012207031,937.75,915.049987792969,922,2001066,900.910827636719
"1061",918,931,916.049987792969,923.5,1455897,902.376525878906
"1062",931,946,920.599975585938,944.099975585938,2410164,922.505310058594
"1063",941,942.25,918.349975585938,924.799987792969,1745381,903.646789550781
"1064",915.549987792969,922.349975585938,896.599975585938,900,1146270,879.414001464844
"1065",905,924.75,904.049987792969,918.049987792969,3142879,897.051086425781
"1066",910.049987792969,921.700012207031,903.599975585938,906.099975585938,1586283,885.374389648438
"1067",920,927.349975585938,909.299987792969,921,3150038,899.933654785156
"1068",924,967.049987792969,919.549987792969,928.650024414062,4290688,907.40869140625
"1069",922.450012207031,925,902.549987792969,923.400024414062,2119174,902.27880859375
"1070",920.099975585938,920.900024414062,895,900.900024414062,3925917,880.29345703125
"1071",905,919.200012207031,872.599975585938,878.150024414062,4462293,858.063842773438
"1072",862,885.700012207031,861.5,883.299987792969,2350532,863.096069335938
"1073",868.049987792969,891.400024414062,868.049987792969,885.400024414062,2522123,865.148010253906
"1074",885,890.849975585938,846.5,861.849975585938,6975331,842.136596679688
"1075",853,867,851,854.799987792969,2768829,835.247924804688
"1076",852.900024414062,855.849975585938,835.200012207031,850,2700591,830.557678222656
"1077",862.950012207031,889,860.150024414062,882.5,4870689,862.314270019531
"1078",881.950012207031,894.75,875.049987792969,885.599975585938,2739020,865.343383789062
"1079",880.150024414062,895.599975585938,878.700012207031,891.75,2317400,871.352722167969
"1080",891,909,888,899.150024414062,2878378,878.58349609375
"1081",885,900,878.349975585938,884.599975585938,2715634,864.366333007812
"1082",893,917.700012207031,889.049987792969,915.650024414062,2877917,894.706176757812
"1083",920,931.299987792969,916.599975585938,922.049987792969,2195036,900.959594726562
"1084",928,930.849975585938,907,909.900024414062,2911410,889.087585449219
"1085",915,922.650024414062,907.25,911.200012207031,2405811,890.35791015625
"1086",918.799987792969,922.450012207031,893.5,899.950012207031,4113170,879.365173339844
"1087",901.950012207031,912.799987792969,896,903.900024414062,2374509,883.224853515625
"1088",905,915.5,886.5,888.299987792969,3541617,867.981567382812
"1089",867.25,882.799987792969,851.200012207031,860.599975585938,24360628,840.915222167969
"1090",875,875,832.599975585938,839.25,5999099,820.053588867188
"1091",836.75,862.900024414062,832.799987792969,859.549987792969,3553217,839.889282226562
"1092",862.150024414062,875,854.849975585938,865.099975585938,2618353,845.312316894531
"1093",865,873.950012207031,858,859.799987792969,2095566,840.133483886719
"1094",855,857.400024414062,838.599975585938,848.25,3031449,828.84765625
"1095",845.099975585938,854,837.599975585938,847.25,3208941,827.870666503906
"1096",846,862.099975585938,835.450012207031,858.849975585938,2297715,839.205200195312
"1097",850,853.950012207031,842,845.700012207031,2124778,826.356018066406
"1098",840,851,819.75,829.5,2191412,810.526550292969
"1099",826,835.650024414062,821.849975585938,825.049987792969,2461692,806.178405761719
"1100",825.25,830.049987792969,819.150024414062,822.299987792969,2008725,803.491271972656
"1101",822.599975585938,826,806.549987792969,814.599975585938,2327414,795.967407226562
"1102",805.200012207031,810.299987792969,789.900024414062,793.400024414062,5719089,775.252319335938
"1103",801,813.5,794.5,805.299987792969,2745302,786.880126953125
"1104",806.599975585938,820.299987792969,805.349975585938,817.450012207031,1342717,798.752197265625
"1105",814,821,803.25,809.299987792969,2032073,790.788635253906
"1106",809.5,826.5,808.5,824.900024414062,1778752,806.031799316406
"1107",827.900024414062,833.799987792969,821.5,824.599975585938,1404748,805.738708496094
"1108",828,848,828,835.650024414062,2980249,816.535888671875
"1109",837,837.5,825.049987792969,828.599975585938,2823691,809.647155761719
"1110",824,843.700012207031,823.849975585938,838.700012207031,2975927,819.516174316406
"1111",836,848.150024414062,823.650024414062,830.599975585938,3809670,811.601318359375
"1112",829.900024414062,836.950012207031,825,829.25,2316527,810.282287597656
"1113",825.299987792969,839.650024414062,821.900024414062,829.400024414062,2097164,810.428894042969
"1114",829.400024414062,846.799987792969,826.650024414062,835.799987792969,2682730,816.682495117188
"1115",840,842.650024414062,831.25,837.700012207031,2364840,818.539001464844
"1116",843.049987792969,852.900024414062,842.150024414062,849.450012207031,2327906,830.020324707031
"1117",853.5,859.5,849.75,857.700012207031,2927832,838.08154296875
