"","TORNTPHARM.NS.Open","TORNTPHARM.NS.High","TORNTPHARM.NS.Low","TORNTPHARM.NS.Close","TORNTPHARM.NS.Volume","TORNTPHARM.NS.Adjusted"
"1044",1401.40002441406,1432.82495117188,1396.32495117188,1414.19995117188,297974,1373.51965332031
"1045",1417.5,1421.69995117188,1366.65002441406,1371.57495117188,379314,1332.12084960938
"1046",1365,1371.55004882812,1342.80004882812,1364.15002441406,402394,1324.90930175781
"1047",1374.57495117188,1409.94995117188,1363.75,1404.94995117188,530746,1364.53576660156
"1048",1406.05004882812,1417.5,1383.5,1414.17504882812,261124,1373.49536132812
"1049",1414.19995117188,1418.34997558594,1386.19995117188,1395.97497558594,391378,1355.81884765625
"1050",1397.5,1401,1382.59997558594,1393.34997558594,184936,1353.26928710938
"1051",1397.47497558594,1419,1388.44995117188,1415.32495117188,152382,1374.61218261719
"1052",1425,1425,1390.02502441406,1393.125,253060,1353.05090332031
"1053",1375,1394,1363.19995117188,1366.625,304930,1327.31311035156
"1054",1375,1379.47497558594,1358.69995117188,1376.25,215762,1336.66125488281
"1055",1381,1405.44995117188,1374.15002441406,1400.90002441406,608208,1360.60205078125
"1056",1402.09997558594,1422.19995117188,1392.77502441406,1396.80004882812,264966,1356.62023925781
"1057",1391,1430,1387.47497558594,1403.375,511134,1363.00610351562
"1058",1402,1437.30004882812,1387.27502441406,1424.75,358916,1383.76611328125
"1059",1412.5,1445,1411,1426.84997558594,309904,1385.8056640625
"1060",1438,1451.97497558594,1407.625,1420.17504882812,310000,1379.32275390625
"1061",1425,1450,1421.57495117188,1429.82495117188,306632,1388.69494628906
"1062",1436.94995117188,1447,1412.02502441406,1414.97497558594,217890,1374.27221679688
"1063",1410,1413.47497558594,1356.97497558594,1368.77502441406,351966,1329.4013671875
"1064",1355.07495117188,1380.72497558594,1353.27502441406,1366.15002441406,173524,1326.85192871094
"1065",1372.97497558594,1395,1348.90002441406,1367.52502441406,246144,1328.18713378906
"1066",1367.52502441406,1369.55004882812,1345.05004882812,1354.80004882812,124534,1315.82836914062
"1067",1372.5,1398.47497558594,1362.5,1392.55004882812,236608,1352.49255371094
"1068",1394,1418.625,1382.82495117188,1407.17504882812,406922,1366.69677734375
"1069",1395,1415.5,1376.77502441406,1396.25,94682,1356.0859375
"1070",1396.5,1399.92504882812,1339.19995117188,1346.125,181398,1307.40283203125
"1071",1348.5,1364.5,1330.52502441406,1341.72497558594,117296,1303.12939453125
"1072",1331,1341.5,1317.375,1325.42504882812,246080,1287.29821777344
"1073",1321.09997558594,1330.77502441406,1286.02502441406,1298.59997558594,268880,1261.24499511719
"1074",1296.25,1314.90002441406,1280.82495117188,1289.57495117188,131012,1252.47961425781
"1075",1287.5,1307.80004882812,1261.07495117188,1276.44995117188,291616,1239.73205566406
"1076",1275,1275.22497558594,1242.07495117188,1252.19995117188,332362,1216.1796875
"1077",1262.02502441406,1315,1256.30004882812,1291.30004882812,458218,1254.15478515625
"1078",1290,1305.57495117188,1278.02502441406,1290.625,175036,1253.49938964844
"1079",1291.5,1314.15002441406,1267.02502441406,1309.05004882812,454652,1271.39440917969
"1080",1309.5,1324.09997558594,1290.02502441406,1318.47497558594,324896,1280.54821777344
"1081",1283.94995117188,1304,1275,1296.15002441406,231880,1258.86547851562
"1082",1306.25,1339.94995117188,1295.5,1332.34997558594,870392,1294.02404785156
"1083",1348,1361.44995117188,1299.69995117188,1308.27502441406,680554,1270.64172363281
"1084",1310.05004882812,1314.67504882812,1276.30004882812,1294.59997558594,526532,1257.35986328125
"1085",1304.32495117188,1324.94995117188,1295.07495117188,1317.40002441406,371076,1279.50402832031
"1086",1375.5,1465.57495117188,1375.5,1450.47497558594,5131674,1408.75122070312
"1087",1457.5,1475,1438.67504882812,1468.47497558594,773064,1426.23327636719
"1088",1467.5,1477.44995117188,1438.77502441406,1442.625,479038,1401.12707519531
"1089",1443.75,1459.84997558594,1405.27502441406,1416.30004882812,1699176,1375.55932617188
"1090",1430,1430.97497558594,1403.05004882812,1408.22497558594,190844,1367.71643066406
"1091",1420.02502441406,1464.5,1401,1407.65002441406,845722,1367.15795898438
"1092",1407.44995117188,1417.40002441406,1385.17504882812,1390.15002441406,213408,1357.3935546875
"1093",1390.5,1400,1376.97497558594,1390.67504882812,237090,1357.90625
"1094",1381,1399.30004882812,1368.52502441406,1394.92504882812,201396,1362.05627441406
"1095",1395,1412.19995117188,1389.22497558594,1407.47497558594,150544,1374.31030273438
"1096",1410,1448.875,1401.375,1444.55004882812,251288,1410.51184082031
"1097",1435.55004882812,1437.97497558594,1415.625,1432.125,244434,1398.37951660156
"1098",1416,1430,1405.52502441406,1417.09997558594,193102,1383.70849609375
"1099",1414.69995117188,1430.92504882812,1400,1407.57495117188,121254,1374.40808105469
"1100",1408,1422.77502441406,1399.09997558594,1408.875,138016,1375.67736816406
"1101",1419.44995117188,1419.44995117188,1393.34997558594,1399.52502441406,396420,1366.54772949219
"1102",1393.52502441406,1400.02502441406,1364.05004882812,1378.94995117188,268402,1346.45751953125
"1103",1365.25,1386.5,1359.19995117188,1383.17504882812,121184,1350.5830078125
"1104",1393.55004882812,1419.09997558594,1385,1411.80004882812,269396,1378.53356933594
"1105",1408.30004882812,1428.94995117188,1394.82495117188,1409.02502441406,135662,1375.82385253906
"1106",1416.05004882812,1432.55004882812,1405.02502441406,1427.69995117188,103032,1394.05883789062
"1107",1438.875,1455.5,1428.875,1434.625,145456,1400.82067871094
"1108",1453.05004882812,1453.05004882812,1425.02502441406,1431.32495117188,93022,1397.59838867188
"1109",1430.67504882812,1447.5,1415.40002441406,1441.875,327726,1407.89990234375
"1110",1434.5,1453.82495117188,1416.09997558594,1420.02502441406,224458,1386.56469726562
"1111",1415.02502441406,1434.97497558594,1407.75,1430.125,191474,1396.42663574219
"1112",1425,1462.5,1419.02502441406,1458.47497558594,315648,1424.10864257812
"1113",1463.47497558594,1482.15002441406,1449,1452.07495117188,150518,1417.85949707031
"1114",1459.57495117188,1467.25,1442.52502441406,1446.05004882812,264588,1411.9765625
"1115",1452.77502441406,1459.09997558594,1443.15002441406,1449.75,237548,1415.58923339844
"1116",1460.77502441406,1480,1448.15002441406,1474.27502441406,263922,1439.53637695312
"1117",1494.80004882812,1505,1461.55004882812,1466.69995117188,423730,1432.13977050781
"1118",1493.69995117188,1498.44995117188,1466,1484.05004882812,229548,1449.0810546875
"1119",1485.80004882812,1525,1476.44995117188,1483.44995117188,483930,1448.4951171875
"1120",1493,1499.44995117188,1468.55004882812,1485.69995117188,219493,1450.69213867188
"1121",1493,1531.59997558594,1486.69995117188,1499.84997558594,453393,1464.5087890625
"1122",1503,1525.94995117188,1500.69995117188,1518,217261,1482.23107910156
"1123",1536.80004882812,1536.80004882812,1494.05004882812,1506.05004882812,134792,1470.56262207031
"1124",1510.40002441406,1539,1487.55004882812,1498.05004882812,509986,1462.75109863281
"1125",1510,1516.94995117188,1490.05004882812,1496.59997558594,208162,1461.33520507812
"1126",1496.59997558594,1504.80004882812,1478.40002441406,1484.75,384603,1449.76440429688
"1127",1484.05004882812,1504.40002441406,1466.05004882812,1480.30004882812,195526,1445.41955566406
"1128",1480,1498,1466,1484.44995117188,315581,1449.4716796875
"1129",1482,1510,1430,1467.65002441406,662584,1433.0673828125
"1130",1465.05004882812,1498.94995117188,1451.19995117188,1494.65002441406,250922,1459.43127441406
"1131",1501,1515.5,1472.19995117188,1502.80004882812,380577,1467.38940429688
"1132",1515.5,1535,1501.84997558594,1528.80004882812,326058,1492.77661132812
"1133",1558.94995117188,1558.94995117188,1517.05004882812,1525.65002441406,402247,1489.70080566406
"1134",1525.65002441406,1534.15002441406,1508.25,1517.25,220975,1481.49865722656
"1135",1524.90002441406,1533.40002441406,1503.59997558594,1512.90002441406,131499,1477.25122070312
"1136",1519.90002441406,1570.05004882812,1503.30004882812,1560.69995117188,473526,1523.9248046875
"1137",1566,1575.55004882812,1548.55004882812,1556.55004882812,213269,1519.87280273438
"1138",1554.80004882812,1566.59997558594,1551.30004882812,1555.09997558594,179582,1518.45690917969
"1139",1557,1584,1521,1542.90002441406,283591,1506.54431152344
"1140",1555,1558.80004882812,1532.09997558594,1535.65002441406,239523,1499.46520996094
"1141",1535.65002441406,1560,1532.05004882812,1539.94995117188,452576,1503.66381835938
"1142",1542.09997558594,1605,1540.05004882812,1573.69995117188,706807,1536.61853027344
"1143",1560,1576.80004882812,1548.44995117188,1557.65002441406,232698,1520.94689941406
"1144",1555,1569.80004882812,1546.80004882812,1561,146448,1524.2177734375
"1145",1563.55004882812,1569.94995117188,1533.25,1542.75,179901,1506.39782714844
"1146",1533,1545.94995117188,1513.15002441406,1526.75,201690,1490.77490234375
"1147",1511.09997558594,1543.59997558594,1511.09997558594,1533.30004882812,127792,1497.17053222656
"1148",1533.30004882812,1556.65002441406,1529.69995117188,1554.09997558594,162259,1517.48046875
"1149",1562.59997558594,1569.44995117188,1525,1532.40002441406,235744,1496.29187011719
"1150",1545.5,1568,1539.65002441406,1547.80004882812,182247,1511.32885742188
"1151",1520,1565,1480.40002441406,1541.44995117188,174629,1505.12841796875
"1152",1552.94995117188,1560,1511.09997558594,1550.55004882812,384759,1514.01416015625
"1153",1508,1558.94995117188,1508,1535.34997558594,286232,1499.17211914062
"1154",1535,1546.5,1512.30004882812,1519.84997558594,481162,1484.03747558594
"1155",1525,1527.44995117188,1501.59997558594,1520.75,139412,1484.91625976562
"1156",1528.40002441406,1540.84997558594,1500,1502.90002441406,370878,1467.48681640625
"1157",1505,1527.44995117188,1500,1521.69995117188,115713,1485.84387207031
"1158",1529.34997558594,1538.94995117188,1502.40002441406,1509.40002441406,163076,1473.83361816406
"1159",1516.94995117188,1531.19995117188,1508.75,1523.40002441406,109068,1487.50390625
"1160",1525,1530.55004882812,1494,1503.90002441406,476856,1468.46337890625
"1161",1510,1517.94995117188,1495.59997558594,1511.80004882812,211196,1476.17724609375
"1162",1494.09997558594,1527.94995117188,1492.94995117188,1502.05004882812,132079,1466.65698242188
"1163",1509.59997558594,1513.55004882812,1485,1499.40002441406,208480,1464.0693359375
"1164",1493,1502.40002441406,1470,1478.69995117188,229121,1443.85705566406
"1165",1486.09997558594,1486.09997558594,1461.05004882812,1480.34997558594,102807,1445.46813964844
"1166",1490,1534,1490,1513.5,168085,1477.83715820312
"1167",1515,1563.80004882812,1490.5,1500.5,429128,1465.1435546875
"1168",1503.69995117188,1550,1496.69995117188,1537.69995117188,496645,1501.466796875
"1169",1532,1539.69995117188,1510.15002441406,1516.19995117188,146018,1480.47351074219
"1170",1516.19995117188,1523.55004882812,1491.75,1512.80004882812,162576,1477.15368652344
"1171",1524.19995117188,1540.30004882812,1501.80004882812,1533.84997558594,200518,1497.70751953125
"1172",1499.94995117188,1508.40002441406,1448.80004882812,1494.30004882812,1794804,1459.08959960938
