"","TATACHEM.NS.Open","TATACHEM.NS.High","TATACHEM.NS.Low","TATACHEM.NS.Close","TATACHEM.NS.Volume","TATACHEM.NS.Adjusted"
"1303",1008,1018.45001220703,1002.59997558594,1016.79998779297,620280,985.523742675781
"1304",1018,1027,1012.04998779297,1020.65002441406,587158,989.25537109375
"1305",1020,1029,1016.5,1026.15002441406,468566,994.586181640625
"1306",1022,1029.90002441406,986.650024414062,990.849975585938,608548,960.371887207031
"1307",980,980,926.049987792969,932.099975585938,6210562,903.429077148438
"1308",934,939.900024414062,921.650024414062,933.400024414062,1912439,904.689086914062
"1309",930.200012207031,945.5,927,942.700012207031,1395931,913.703063964844
"1310",945.549987792969,948.799987792969,937.5,944.450012207031,835643,915.399230957031
"1311",946.950012207031,949.400024414062,942.849975585938,948.5,460973,919.324645996094
"1312",951,954.450012207031,941.5,944.400024414062,728106,915.350769042969
"1313",943.950012207031,948.900024414062,930,931.599975585938,1074739,902.944458007812
"1314",934.849975585938,945.25,929.049987792969,943.700012207031,710930,914.672241210938
"1315",947.950012207031,959,944,952.700012207031,737346,923.395446777344
"1316",955.299987792969,987.900024414062,954.549987792969,972,1373516,942.101806640625
"1317",971.950012207031,996.900024414062,969,993.099975585938,1096572,962.552734375
"1318",999.950012207031,1017.84997558594,970,982.25,3686017,952.036499023438
"1319",987.049987792969,987.25,958,959.5,1526091,929.986267089844
"1320",965,973.900024414062,960.5,969.950012207031,859127,940.114868164062
"1321",972.650024414062,978.950012207031,964,965.849975585938,842765,936.140930175781
"1322",972.049987792969,976.349975585938,963.599975585938,974.5,902870,944.52490234375
"1323",977,990,975.549987792969,988.599975585938,974505,958.191162109375
"1324",991,995.900024414062,982.150024414062,985.200012207031,719326,954.895751953125
"1325",989.900024414062,993.700012207031,979.150024414062,990.099975585938,422352,959.64501953125
"1326",994,995.950012207031,975,976.799987792969,452542,946.754089355469
"1327",980,984.549987792969,966.599975585938,982.099975585938,779613,951.891052246094
"1328",987.950012207031,992.5,980.049987792969,984.650024414062,683500,954.362670898438
"1329",989.400024414062,991,974.349975585938,984.150024414062,845534,953.878051757812
