"","ALKEM.NS.Open","ALKEM.NS.High","ALKEM.NS.Low","ALKEM.NS.Close","ALKEM.NS.Volume","ALKEM.NS.Adjusted"
"1282",3132.05004882812,3175,3121,3141.5,52791,3110.67578125
"1283",3145,3175.10009765625,3137.19995117188,3163.80004882812,21323,3132.75708007812
"1284",3135,3166.55004882812,3104.55004882812,3145.85009765625,21793,3114.98291015625
"1285",3117.35009765625,3146,3042.30004882812,3066.64990234375,84172,3036.56005859375
"1286",3057,3103.19995117188,3056.60009765625,3086.80004882812,42051,3056.51245117188
"1287",3120,3120,3067.94995117188,3079.85009765625,18059,3049.63061523438
"1288",3060,3170.35009765625,3051.89990234375,3155.05004882812,73462,3124.09252929688
"1289",3188.5,3188.5,3098.30004882812,3113.25,65853,3082.70263671875
"1290",3100.85009765625,3144.85009765625,3087.60009765625,3115.19995117188,91221,3084.63354492188
"1291",3101,3157.05004882812,3099.14990234375,3116.60009765625,39169,3086.02001953125
"1292",3132,3225,3106.60009765625,3213.19995117188,130364,3181.67211914062
"1293",3196.14990234375,3196.14990234375,3138,3149.75,186735,3118.8447265625
"1294",3150,3202,3145,3153.75,63939,3122.80541992188
"1295",3170.30004882812,3265,3157.85009765625,3227.94995117188,171827,3196.27734375
"1296",3231.89990234375,3259.89990234375,3201.60009765625,3240.80004882812,56411,3209.00122070312
"1297",3240,3311,3230.14990234375,3300.30004882812,71738,3267.91748046875
"1298",3312.69995117188,3414.35009765625,3296.30004882812,3396.10009765625,248234,3362.77758789062
"1299",3410,3410,3358.5,3399.80004882812,220590,3366.44140625
"1300",3399.69995117188,3430.35009765625,3381.05004882812,3408.80004882812,210599,3375.35327148438
"1301",3384.25,3430,3384.25,3405.64990234375,121832,3372.23364257812
"1302",3403.25,3429.94995117188,3358.19995117188,3372.55004882812,246320,3339.45874023438
"1303",3370,3428.55004882812,3320.44995117188,3331.55004882812,174521,3298.86083984375
"1304",3339.85009765625,3395.25,3316.75,3340.60009765625,339626,3307.822265625
"1305",3357.35009765625,3420,3337.55004882812,3345.05004882812,237891,3312.228515625
"1306",3362.69995117188,3369.94995117188,3300.85009765625,3332.35009765625,129855,3299.65307617188
"1307",3345.55004882812,3400,3334.75,3366.85009765625,342322,3333.814453125
"1308",3367,3379.94995117188,3327.19995117188,3341.69995117188,149586,3308.91137695312
"1309",3340.69995117188,3398.94995117188,3340,3355.89990234375,259756,3322.97192382812
"1310",3355.89990234375,3462.35009765625,3355.85009765625,3409,451859,3375.55102539062
"1311",3409,3445,3404,3428.80004882812,264849,3395.15673828125
"1312",3428.85009765625,3450,3385,3421.44995117188,97313,3387.87866210938
"1313",3415,3438,3400.80004882812,3426.85009765625,48166,3393.22607421875
"1314",3426.85009765625,3444.89990234375,3419.60009765625,3435.5,95163,3401.791015625
"1315",3445,3520,3442.80004882812,3509.89990234375,241766,3475.46069335938
"1316",3525.14990234375,3544.10009765625,3495.60009765625,3518.44995117188,110550,3483.92700195312
"1317",3500,3539.94995117188,3495.19995117188,3517.14990234375,148903,3482.6396484375
"1318",3517.14990234375,3540,3467.89990234375,3480.25,82813,3446.10180664062
"1319",3484.10009765625,3499.94995117188,3452.60009765625,3465.80004882812,46430,3431.79370117188
"1320",3475.80004882812,3531.30004882812,3464.05004882812,3513.30004882812,118023,3478.82763671875
"1321",3531.80004882812,3625,3515.5,3618.05004882812,590802,3582.5498046875
"1322",3622.55004882812,3622.94995117188,3567.89990234375,3585.85009765625,189248,3550.666015625
"1323",3604.69995117188,3604.69995117188,3485,3497.64990234375,99457,3463.3310546875
"1324",3507.80004882812,3507.80004882812,3405,3408.80004882812,105538,3375.35327148438
"1325",3420,3434.94995117188,3376.85009765625,3425.64990234375,184251,3392.03735351562
"1326",3443.69995117188,3475,3401.75,3413.64990234375,181489,3380.1552734375
"1327",3413.64990234375,3429.80004882812,3365.05004882812,3383.94995117188,129323,3350.74658203125
"1328",3390.25,3392.05004882812,3313.14990234375,3326.30004882812,373242,3293.66259765625
"1329",3325,3389,3275,3302.10009765625,580221,3269.69995117188
"1330",3225.60009765625,3280.35009765625,3225.60009765625,3252.25,263130,3220.3388671875
"1331",3260,3349.89990234375,3186.30004882812,3257.89990234375,373559,3225.93359375
"1332",3258,3400.80004882812,3252,3310.10009765625,251572,3277.62133789062
"1333",3310.10009765625,3360,3282.39990234375,3324.39990234375,226650,3291.78100585938
"1334",3329.10009765625,3368.5,3309.94995117188,3345.85009765625,140257,3313.02075195312
"1335",3349.89990234375,3380,3327.64990234375,3348.44995117188,77549,3315.59497070312
"1336",3351.89990234375,3390,3341.80004882812,3358.69995117188,144778,3325.74462890625
"1337",3368,3396.60009765625,3345.05004882812,3359.60009765625,92711,3326.63549804688
"1338",3383.94995117188,3418.75,3366.44995117188,3380.35009765625,55564,3347.18212890625
"1339",3380.35009765625,3397.10009765625,3341.10009765625,3363.75,63221,3330.7451171875
"1340",3400,3410,3354,3395.69995117188,177877,3362.38159179688
"1341",3409.89990234375,3409.89990234375,3370.05004882812,3388.80004882812,110764,3355.54931640625
"1342",3396.69995117188,3417.94995117188,3385.35009765625,3407.60009765625,53590,3374.16479492188
"1343",3401.80004882812,3458.64990234375,3401.80004882812,3442.05004882812,81435,3408.27661132812
"1344",3460,3460,3386.05004882812,3414.5,369823,3380.99682617188
"1345",3417.10009765625,3419.85009765625,3337,3347.5,156889,3314.65454101562
"1346",3367.60009765625,3450.94995117188,3350,3389.44995117188,231707,3356.19262695312
"1347",3393,3420,3363,3372.85009765625,123537,3339.755859375
"1348",3388.89990234375,3438.89990234375,3360,3394.39990234375,137974,3361.09399414062
"1349",3402.5,3445.94995117188,3391.25,3398.94995117188,76056,3365.599609375
"1350",3402.94995117188,3456.85009765625,3372.10009765625,3402.60009765625,181443,3369.2138671875
"1351",3430,3455.89990234375,3375,3383.89990234375,194971,3350.697265625
"1352",3391.19995117188,3414,3375.30004882812,3389.89990234375,124993,3356.63842773438
"1353",3400,3404,3330.05004882812,3349.39990234375,256036,3316.53564453125
"1354",3348.39990234375,3373.39990234375,3307.19995117188,3349.94995117188,187418,3317.08032226562
"1355",3347,3415,3335.80004882812,3401.5,131596,3368.12451171875
"1356",3419,3427.94995117188,3387,3395.44995117188,149706,3362.13403320312
"1357",3410,3459.80004882812,3395,3446.14990234375,634166,3412.33666992188
"1358",3469.35009765625,3517.5,3449.05004882812,3512.85009765625,205515,3478.38208007812
"1359",3515,3515,3442,3493.89990234375,141957,3459.61791992188
"1360",3482.55004882812,3537.14990234375,3482.14990234375,3494.80004882812,85700,3460.50927734375
"1361",3499.94995117188,3525,3480.19995117188,3512.25,100980,3477.78784179688
"1362",3512.10009765625,3543.94995117188,3502.25,3523.25,79164,3488.68017578125
"1363",3540,3540,3477.05004882812,3490.75,85096,3456.4990234375
"1364",3492.39990234375,3529.94995117188,3476.14990234375,3487.64990234375,50264,3453.42919921875
"1365",3488.64990234375,3523.80004882812,3475,3514.05004882812,33453,3479.57055664062
"1366",3535.35009765625,3540,3495.05004882812,3529,117624,3494.37353515625
"1367",3525.10009765625,3550,3495,3511.14990234375,146039,3476.69873046875
"1368",3510.25,3531,3500.05004882812,3519.35009765625,28120,3484.818359375
"1369",3516.14990234375,3656.60009765625,3508.30004882812,3628.60009765625,345756,3592.99633789062
"1370",3648,3671.69995117188,3618.05004882812,3666.64990234375,156037,3630.67260742188
"1371",3670,3685.69995117188,3605,3639.44995117188,157152,3603.73974609375
"1372",3635,3747.30004882812,3635,3690.10009765625,426629,3653.89282226562
