"","LTIM.NS.Open","LTIM.NS.High","LTIM.NS.Low","LTIM.NS.Close","LTIM.NS.Volume","LTIM.NS.Adjusted"
"1276",4803.5498046875,4837.7001953125,4678.64990234375,4775,479625,4661.93359375
"1277",4781,4855,4698,4722.0498046875,500908,4610.2373046875
"1278",4722.0498046875,4770,4709.39990234375,4743.7998046875,290531,4631.47265625
"1279",4705,4729.85009765625,4650,4705.5498046875,292898,4594.12890625
"1280",4729.10009765625,4757,4686.0498046875,4710.35009765625,297149,4598.81494140625
"1281",4760.9501953125,4845,4755,4821.2001953125,385377,4707.0400390625
"1282",4777,4798.14990234375,4725,4781.4501953125,191475,4668.2314453125
"1283",4780,4819,4720,4738,225194,4625.810546875
"1284",4680,4680,4600.10009765625,4640.10009765625,331578,4530.228515625
"1285",4642.9501953125,4716.14990234375,4602.85009765625,4616,248598,4506.69873046875
"1286",4590,4652.2998046875,4483.10009765625,4566.9501953125,410671,4458.810546875
"1287",4581,4680,4565.89990234375,4592.2998046875,320108,4483.5595703125
"1288",4580,4604.85009765625,4480,4553.0498046875,416508,4445.2392578125
"1289",4640,4785,4621.35009765625,4673.9501953125,1180000,4563.27685546875
"1290",4561,4707,4561,4678.25,317984,4567.474609375
"1291",4694,4723.89990234375,4647.25,4674.10009765625,332833,4563.423828125
"1292",4714.9501953125,4795,4633.5,4649.75,409812,4539.64990234375
"1293",4611,4648,4542.5,4601.89990234375,400901,4492.9326171875
"1294",4648,4713,4588.89990234375,4601.4501953125,477503,4492.49365234375
"1295",4620,4663.4501953125,4550,4557.7001953125,249140,4449.77978515625
"1296",4568.9501953125,4612.4501953125,4516.10009765625,4554.89990234375,313376,4447.04541015625
"1297",4567,4662.9501953125,4548.85009765625,4620.5498046875,333288,4511.14111328125
"1298",4640,4777.7001953125,4632,4759.64990234375,328337,4646.947265625
"1299",4760,4779,4700,4739.85009765625,257102,4627.61572265625
"1300",4739,4848,4710.7998046875,4833.4501953125,430407,4719
"1301",4840,4840,4751.7001953125,4773.25,192083,4660.22509765625
"1302",4784,4808.5,4754,4797.39990234375,220328,4683.80322265625
"1303",4800,4800,4726.2001953125,4772.39990234375,186260,4659.39599609375
"1304",4774.9501953125,4837,4750,4827.7001953125,327375,4713.3857421875
"1305",4790,4790,4615.5498046875,4646.39990234375,912484,4536.37890625
"1306",4482,4490,4181.7998046875,4332.60009765625,1763639,4230.00927734375
"1307",4362.85009765625,4365,4235.39990234375,4318.60009765625,771432,4216.34130859375
"1308",4318.60009765625,4360,4178.0498046875,4194.5498046875,823131,4095.22802734375
"1309",4194,4241.9501953125,4136.10009765625,4152.85009765625,548732,4054.515625
"1310",4162.14990234375,4213.89990234375,4132.2001953125,4170.85009765625,480473,4072.08935546875
"1311",4199,4212.2998046875,4148.2001953125,4183.4501953125,280999,4084.39135742188
"1312",4210,4219.9501953125,4175.4501953125,4186.39990234375,299754,4087.27075195312
"1313",4180,4217.0498046875,4153.0498046875,4160.14990234375,496132,4061.64282226562
"1314",4185,4351.64990234375,4163.35009765625,4320.14990234375,888098,4217.8544921875
"1315",4335,4443.4501953125,4284.4501953125,4419.4501953125,1138300,4314.802734375
"1316",4430.9501953125,4615,4424.0498046875,4548.25,757405,4440.552734375
"1317",4538.25,4544,4458.4501953125,4498,404872,4391.49267578125
"1318",4480.7998046875,4522.9501953125,4466.0498046875,4501.0498046875,331451,4394.47021484375
"1319",4498,4550,4474.0498046875,4487.85009765625,217630,4381.58349609375
"1320",4520,4535,4490,4517.7998046875,172189,4410.82373046875
"1321",4533.39990234375,4666.60009765625,4520,4622.64990234375,535062,4513.19140625
"1322",4637.9501953125,4638,4571.4501953125,4594.7001953125,246174,4485.90283203125
"1323",4665,4685.9501953125,4628.9501953125,4658.2001953125,272084,4547.8994140625
"1324",4640,4721.9501953125,4614.0498046875,4687.2001953125,232055,4576.21337890625
"1325",4682,4717,4657,4707.14990234375,162309,4595.6904296875
"1326",4720,4790,4715,4736.0498046875,254021,4623.90625
"1327",4744,4757,4681,4739.89990234375,185117,4627.66552734375
"1328",4749.7998046875,4777.64990234375,4701,4712.7998046875,246516,4601.20654296875
"1329",4751.64990234375,4843.25,4730.14990234375,4803,527489,4689.27099609375
"1330",4817,5015.39990234375,4810,4987.4501953125,569846,4869.35400390625
"1331",4988,5015,4839.35009765625,4857.85009765625,447041,4742.822265625
"1332",4829,4878.7998046875,4781.7998046875,4826.35009765625,501671,4712.068359375
"1333",4850,4924.25,4791.5498046875,4910.5498046875,289085,4794.27392578125
"1334",4925,5019,4925,5001.10009765625,443908,4882.6806640625
"1335",5043,5054.7001953125,4976.2001953125,4988.89990234375,303516,4870.76904296875
"1336",4999,5020.14990234375,4970.35009765625,4991.25,306273,4873.0634765625
"1337",4989.0498046875,5027.75,4951.4501953125,4998.39990234375,512681,4880.0439453125
"1338",5018.75,5040,4957.5498046875,4969.2998046875,320472,4851.6328125
"1339",5020,5020,4980,4994.14990234375,269222,4875.89453125
"1340",5010,5029.9501953125,4930.10009765625,4943.2001953125,156817,4826.15087890625
"1341",4890,4915.4501953125,4800,4884.85009765625,920055,4769.1826171875
"1342",4915,4938.75,4860.2998046875,4902.25,286467,4786.1708984375
"1343",4895,4897,4797.10009765625,4805.2001953125,415304,4691.4189453125
"1344",4812,4836.25,4776.10009765625,4823.0498046875,274316,4708.84619140625
"1345",4823.0498046875,4938,4790.85009765625,4899.35009765625,337136,4783.33935546875
"1346",4930.10009765625,4966.85009765625,4902,4944.9501953125,263147,4827.85986328125
"1347",4944.9501953125,4958.9501953125,4870.75,4906.7001953125,361987,4790.515625
"1348",4903.35009765625,5020,4881.0498046875,4971.14990234375,452221,4853.439453125
"1349",5000.35009765625,5093,4952.10009765625,5010.60009765625,689468,4891.955078125
"1350",5011,5144,5007,5049.9501953125,770658,4930.37353515625
"1351",5068,5070.35009765625,4957.2998046875,5022.14990234375,372934,4903.23193359375
"1352",5045,5078,4968.35009765625,5000.5,335601,4882.09423828125
"1353",5024.7998046875,5037.60009765625,4971,5026.0498046875,248629,4907.0390625
"1354",4999.9501953125,5010.89990234375,4910.85009765625,4956.64990234375,263039,4839.28271484375
"1355",4954.89990234375,5018.85009765625,4926.0498046875,5007.2998046875,234908,4888.73388671875
"1356",5015,5194.39990234375,4979.4501953125,5163.0498046875,771183,5040.794921875
"1357",5209,5210,5063.0498046875,5088.89990234375,700215,4968.40087890625
"1358",5125,5230,5114,5197.2001953125,581634,5074.13671875
"1359",5226,5230,5137,5211.35009765625,364676,5087.95166015625
"1360",5209.89990234375,5275.35009765625,5145,5250.5498046875,384232,5126.22314453125
"1361",5425,5430,5205.0498046875,5242.10009765625,1432005,5117.9736328125
"1362",5255,5265,5170,5178.2001953125,415786,5055.58642578125
"1363",5190,5250,5101.2001953125,5114.5498046875,606865,4993.44384765625
"1364",5099,5099,4962.0498046875,4997.75,560058,4917.87109375
"1365",4997.75,5023.25,4915,4924.25,537188,4845.54638671875
"1366",4961,4988.25,4776.2001953125,4816.2001953125,5055302,4739.2236328125
"1367",4805,4943.89990234375,4795.5498046875,4893.2998046875,837160,4815.09033203125
"1368",4925,5114.39990234375,4902,5093.10009765625,1374038,5011.697265625
"1369",5125,5296,5080,5134.85009765625,1526990,5052.7802734375
"1370",5050,5077.9501953125,4945.25,5001.14990234375,1983506,4921.216796875
"1371",5030,5039,4950,4990.5,526765,4910.7373046875
"1372",5005,5018,4955.7001953125,4985.0498046875,361901,4905.3740234375
"1373",4895,5020,4855,4922.75,859135,4844.0703125
"1374",4922.75,4962.60009765625,4866,4879.0498046875,254263,4801.068359375
"1375",4890,4899,4852.5,4868.64990234375,283808,4790.83447265625
"1376",4889,4937.5,4855,4860.5498046875,384319,4782.8642578125
"1377",4890,4898.85009765625,4837.60009765625,4862.4501953125,406914,4784.734375
"1378",4870,4893.5,4813.10009765625,4844.0498046875,217121,4766.6279296875
"1379",4840.39990234375,4904,4801,4891.64990234375,343283,4813.466796875
"1380",4929,4998.7001953125,4900,4977.4501953125,442346,4897.896484375
"1381",4975,4976,4840,4865.9501953125,542161,4788.17822265625
"1382",4860,4898.9501953125,4831.0498046875,4869.89990234375,346102,4792.064453125
"1383",4885,4980.9501953125,4881.2001953125,4940.89990234375,238713,4861.9296875
"1384",4956,5059.2998046875,4930.85009765625,5047.0498046875,451430,4966.3828125
"1385",5058,5096,5021.5,5082.5498046875,340699,5001.31591796875
"1386",5075,5112.5,5033,5104.2001953125,201844,5022.6201171875
"1387",5085,5144.89990234375,5071.5498046875,5106.5498046875,255038,5024.9326171875
"1388",5115,5171.9501953125,5095.0498046875,5107.35009765625,353239,5025.7197265625
"1389",5090,5203.9501953125,5065,5193.2998046875,396400,5110.2958984375
"1390",5199,5238.7001953125,5160,5197.89990234375,405856,5114.822265625
"1391",5188,5188,5082.7998046875,5097.5498046875,344151,5016.076171875
"1392",5100,5114,5011.60009765625,5085.14990234375,338124,5003.87451171875
"1393",5086,5152.14990234375,5056,5147.5498046875,202004,5065.27734375
"1394",5170,5170,5109,5139.89990234375,175355,5057.74951171875
"1395",5155.0498046875,5245.89990234375,5155.0498046875,5174.5,359052,5091.79638671875
"1396",5219,5229.89990234375,5120.25,5170.14990234375,296417,5087.51611328125
"1397",5131,5189.89990234375,5104.14990234375,5127.39990234375,206278,5045.44873046875
"1398",5150,5156.85009765625,5095.5,5129.9501953125,165824,5047.9580078125
"1399",5141,5187.9501953125,5122.10009765625,5136.75,196122,5054.64990234375
"1400",5179.39990234375,5213,5135,5173.64990234375,349680,5090.9599609375
"1401",5195,5253.39990234375,5158.0498046875,5193.39990234375,636436,5110.39404296875
"1402",5224.7998046875,5314,5197.0498046875,5303.35009765625,435444,5218.5869140625
"1403",5315.0498046875,5380,5272.85009765625,5365.7001953125,397768,5279.94091796875
"1404",5365.7001953125,5462,5341.35009765625,5426.14990234375,600824,5339.42431640625
"1405",5448.9501953125,5480.39990234375,5357.10009765625,5407.25,388092,5320.826171875
"1406",5400,5497.9501953125,5353,5485.89990234375,602474,5398.21923828125
"1407",5500,5501,5450,5478.5,244392,5390.9375
"1408",5480,5521,5467.2998046875,5508.64990234375,239456,5420.60546875
"1409",5508.60009765625,5536,5416,5505.4501953125,327724,5417.45703125
"1410",5498,5550,5457.35009765625,5539.10009765625,247607,5450.56884765625
"1411",5545,5593.39990234375,5481.35009765625,5498.60009765625,401195,5410.71630859375
"1412",5529.9501953125,5549.2998046875,5495.14990234375,5532.7998046875,296245,5444.36962890625
"1413",5520,5523.60009765625,5471.10009765625,5513.75,184125,5425.6240234375
"1414",5475,5527.7001953125,5453.2001953125,5473.4501953125,145121,5385.96826171875
"1415",5468,5468,5355,5394.14990234375,313418,5307.935546875
"1416",5386,5452.5,5350,5427.5,180055,5340.7529296875
"1417",5449,5459,5360,5377.10009765625,254576,5291.158203125
"1418",5381,5410.5,5353,5363.0498046875,159123,5277.33251953125
"1419",5400,5445,5376.10009765625,5436.89990234375,320128,5350.00244140625
