"","TCS.NS.Open","TCS.NS.High","TCS.NS.Low","TCS.NS.Close","TCS.NS.Volume","TCS.NS.Adjusted"
"105",1745,1749,1712.59997558594,1744.25,1681483,1559.5771484375
"106",1744,1751.90002441406,1711.15002441406,1721.59997558594,2449568,1539.3251953125
"107",1723,1734.90002441406,1715.19995117188,1725.75,2236512,1543.0361328125
"108",1725,1749,1723.80004882812,1735.55004882812,2414762,1551.79833984375
"109",1735,1757.30004882812,1735,1747.09997558594,2582138,1562.12548828125
"110",1747.09997558594,1763,1743,1749.69995117188,2179378,1564.45007324219
"111",1757,1785,1753,1781,4608875,1592.43640136719
"112",1816,1831.65002441406,1798,1824.09997558594,5370983,1630.97326660156
"113",1830,1832.30004882812,1784,1787.55004882812,3819998,1598.29284667969
"114",1800,1847.09997558594,1788.59997558594,1840.05004882812,9183574,1645.23413085938
"115",1867.94995117188,1867.94995117188,1822.15002441406,1829,4674987,1635.35412597656
"116",1822.15002441406,1839,1821,1824.5,3245034,1631.33056640625
"117",1832,1836.30004882812,1818.59997558594,1822.44995117188,3107695,1629.49768066406
"118",1832,1832,1817.59997558594,1819.34997558594,2910659,1626.72583007812
"119",1827,1827,1799.55004882812,1809.80004882812,2949458,1618.18762207031
"120",1811.90002441406,1822.34997558594,1806,1819.25,2083217,1626.63647460938
"121",1823,1861,1821,1852,4679712,1655.91943359375
"122",1860,1885.15002441406,1851.25,1858,4081208,1661.28381347656
"123",1865,1871,1826.30004882812,1842.69995117188,4888125,1647.60363769531
"124",1844.90002441406,1867.40002441406,1842.30004882812,1847.75,3506276,1652.119140625
"125",1852,1857.80004882812,1841.09997558594,1851.34997558594,2650290,1655.33825683594
"126",1859.94995117188,1879.90002441406,1857.05004882812,1874.05004882812,3242233,1675.63427734375
"127",1879.90002441406,1879.90002441406,1857.15002441406,1866.15002441406,2700614,1668.57141113281
"128",1873,1887.5,1862.09997558594,1880.30004882812,2472571,1681.22302246094
"129",1882.84997558594,1921,1881.65002441406,1912.94995117188,3713781,1710.41589355469
"130",1924,1924.40002441406,1876.5,1883,6151747,1683.63684082031
"131",1898,1898.90002441406,1870.75,1875.09997558594,5303302,1676.57336425781
"132",1900,1998,1894.15002441406,1979.90002441406,22903802,1770.27807617188
"133",1984,1990.90002441406,1960.5,1971.34997558594,6921701,1762.63305664062
"134",1975,1997.90002441406,1974,1981.09997558594,4148185,1771.35083007812
"135",1990,1996,1977.44995117188,1989.19995117188,2582159,1778.59326171875
"136",1989,2009,1981,2002.15002441406,3315492,1793.77905273438
"137",2005,2011.69995117188,1993.05004882812,2000.25,2013869,1792.07702636719
"138",2002.09997558594,2010.44995117188,1970,1981.40002441406,1746318,1775.18859863281
"139",1984.90002441406,2000,1984,1996.59997558594,1934995,1788.80676269531
"140",2001,2009.94995117188,1986,2005.65002441406,2086201,1796.91479492188
"141",2015,2015,1984.15002441406,1999,2038423,1790.95690917969
"142",2001.90002441406,2002,1968.40002441406,1981.5,1535492,1775.27844238281
"143",1974.94995117188,1985,1955.09997558594,1964.69995117188,3503036,1760.2265625
"144",1960.84997558594,1964.65002441406,1940.30004882812,1943.75,2033977,1741.45690917969
"145",1943,1954.69995117188,1931.55004882812,1944.59997558594,1579251,1742.21875
"146",1942,1947,1928,1940.19995117188,2204803,1738.27648925781
"147",1949.94995117188,1981.55004882812,1949.80004882812,1976.5,2425180,1770.79858398438
"148",1980,1985,1945,1948.40002441406,1509287,1745.62341308594
"149",1956.5,1982.05004882812,1956.5,1979.44995117188,1505131,1773.44152832031
"150",1997,1998.94995117188,1972.25,1975.55004882812,1532249,1769.94763183594
"151",1978.19995117188,1979.15002441406,1960.5,1967.34997558594,1353521,1762.60083007812
"152",1972,1978.30004882812,1962,1974,1315062,1768.55871582031
"153",1980,1980.80004882812,1966,1974.34997558594,2060297,1768.87231445312
"154",1980.94995117188,1996.5,1972.05004882812,1993.09997558594,2784105,1785.67102050781
"155",1997.80004882812,2004.25,1990,2000.15002441406,3559575,1791.98742675781
"156",1992,2024.59997558594,1982.40002441406,2003.55004882812,3311765,1795.03332519531
"157",2000.30004882812,2020.05004882812,1995,2008.5,2152065,1799.46850585938
"158",2013.84997558594,2021.90002441406,2004,2012.75,1213731,1803.27575683594
"159",2024,2024,2003.69995117188,2009.94995117188,1587032,1800.76721191406
"160",2010.15002441406,2024,2004,2017.65002441406,1376866,1807.66589355469
"161",2022.80004882812,2038,2020.30004882812,2035.09997558594,3046791,1823.2998046875
"162",2035.09997558594,2046,2031,2043,1570533,1830.37780761719
"163",2043,2059,2035,2050.89990234375,1532702,1837.45520019531
"164",2055,2072,2052,2069.19995117188,1987983,1853.85095214844
"165",2072.5,2076.60009765625,2045.59997558594,2072,1525867,1856.35949707031
"166",2068,2085,2065.5,2082.39990234375,2408020,1865.67700195312
"167",2082.30004882812,2092,2074,2078.39990234375,2504554,1862.09338378906
"168",2084.80004882812,2090,2048.39990234375,2052.89990234375,1439711,1839.24719238281
"169",2059.80004882812,2104.75,2056.94995117188,2098.89990234375,4420803,1880.45983886719
"170",2100,2107.25,2075.05004882812,2079.25,1681106,1862.85498046875
"171",2075,2081.5,2060.30004882812,2075.30004882812,2238097,1859.31628417969
"172",2079.30004882812,2084,2065.39990234375,2079.85009765625,1312182,1863.39282226562
"173",2084.39990234375,2093.39990234375,2074.25,2080.75,1530539,1864.19897460938
"174",2089,2089,2042.19995117188,2046.25,3679745,1833.28918457031
"175",2052.35009765625,2068.89990234375,2040,2043.94995117188,2307661,1831.22888183594
"176",2044,2071.55004882812,2018.15002441406,2065.39990234375,3642038,1850.44616699219
"177",2070,2077.80004882812,2054.55004882812,2074.14990234375,1033857,1858.28625488281
"178",2073,2078.80004882812,2057.60009765625,2070.75,1456507,1855.23999023438
"179",2071.89990234375,2089,2066.85009765625,2077.89990234375,1301268,1861.6455078125
"180",2077,2121,2050.14990234375,2103.14990234375,4508530,1884.26782226562
"181",2115,2210.5,2098.14990234375,2198.44995117188,3032226,1969.6494140625
"182",2204.89990234375,2211.89990234375,2153.80004882812,2183.19995117188,2868778,1955.98669433594
"183",2187,2199,2135.10009765625,2142.14990234375,1970951,1919.20886230469
"184",2141.89990234375,2209.69995117188,2135.80004882812,2188.85009765625,3311802,1961.04895019531
"185",2178,2190,2158.85009765625,2183.69995117188,2904371,1956.43432617188
"186",2190.89990234375,2275.94995117188,2190.35009765625,2255.55004882812,3772208,2020.80651855469
"187",2250.30004882812,2255,2155.60009765625,2162.85009765625,3902322,1937.75463867188
"188",2156.60009765625,2156.64990234375,2056.35009765625,2064.80004882812,4762419,1849.90881347656
"189",2050,2120,2020.90002441406,2102.64990234375,3417624,1883.81970214844
"190",2102.64990234375,2122.19995117188,2048.14990234375,2077.55004882812,2010154,1861.33203125
"191",2080.35009765625,2107.64990234375,2053.19995117188,2091.80004882812,1867130,1874.09899902344
"192",2100,2105.94995117188,2029,2043.59997558594,2749573,1830.91552734375
"193",1985,2013,1941,1979.94995117188,4700256,1773.88977050781
"194",1978,1978,1903,1918.30004882812,9373289,1718.65576171875
"195",1940,1955.55004882812,1920,1949.5,2638151,1746.60876464844
"196",1958,1971.90002441406,1935,1962.30004882812,2815425,1758.07641601562
"197",1970,1989,1920,1929.40002441406,2779207,1728.6005859375
"198",1929,1929,1870.05004882812,1913.19995117188,3428776,1714.08630371094
"199",1914,1916,1886.94995117188,1903,1778496,1704.94799804688
"200",1888,1898,1837,1843.65002441406,2752811,1655.25427246094
"201",1852.05004882812,1874,1811.09997558594,1848.5,2735913,1659.60852050781
"202",1844,1876.90002441406,1825.05004882812,1853,2507233,1663.64892578125
