"","BAJAJFINSV.NS.Open","BAJAJFINSV.NS.High","BAJAJFINSV.NS.Low","BAJAJFINSV.NS.Close","BAJAJFINSV.NS.Volume","BAJAJFINSV.NS.Adjusted"
"1250",1365,1365.94995117188,1348.09997558594,1355.15002441406,1910318,1353.58227539062
"1251",1360,1361.65002441406,1326.55004882812,1333.19995117188,2091612,1331.65759277344
"1252",1330,1345,1319.55004882812,1332.75,1832743,1331.20812988281
"1253",1336.25,1349,1329.55004882812,1332.69995117188,1311451,1331.15808105469
"1254",1334.90002441406,1334.90002441406,1310,1314.34997558594,1549899,1312.82946777344
"1255",1315.09997558594,1336.15002441406,1302.05004882812,1314.19995117188,1829556,1312.67956542969
"1256",1320.80004882812,1360,1317.84997558594,1343.84997558594,4411750,1342.29528808594
"1257",1354.40002441406,1357.15002441406,1323.80004882812,1342.44995117188,2213909,1340.89685058594
"1258",1348,1360,1246.84997558594,1268.30004882812,4761664,1266.83276367188
"1259",1269,1288.65002441406,1252.09997558594,1271.90002441406,2419664,1270.42858886719
"1260",1305,1340.80004882812,1281.30004882812,1337.44995117188,3271913,1335.90270996094
"1261",1337.44995117188,1349,1322.09997558594,1343.05004882812,1546926,1341.49633789062
"1262",1345.15002441406,1362.34997558594,1337.09997558594,1350.40002441406,1604424,1348.83776855469
"1263",1356.94995117188,1377,1345.19995117188,1368.90002441406,1516979,1367.31628417969
"1264",1370,1409.90002441406,1356.65002441406,1400.25,2593600,1398.63000488281
"1265",1406,1418.65002441406,1394,1401.75,2069492,1400.12841796875
"1266",1404,1415,1381.75,1388.55004882812,1467695,1386.94360351562
"1267",1390,1405,1373.65002441406,1398.59997558594,1390992,1396.98193359375
"1268",1398,1423.94995117188,1388.05004882812,1420.80004882812,1518171,1419.15625
"1269",1429,1435,1413.05004882812,1428.19995117188,2153424,1426.54760742188
"1270",1420.05004882812,1427.19995117188,1410,1414.05004882812,994199,1412.4140625
"1271",1418,1425.80004882812,1400.80004882812,1404.59997558594,993735,1402.97497558594
"1272",1409.40002441406,1409.40002441406,1390,1394.30004882812,1117177,1392.68701171875
"1273",1389.90002441406,1392,1356,1360.94995117188,1402505,1359.37548828125
"1274",1362,1365.94995117188,1341,1346.94995117188,1095460,1345.39172363281
"1275",1353.69995117188,1386,1350.34997558594,1359,1342454,1357.427734375
"1276",1357.94995117188,1367.25,1345,1357.40002441406,972575,1355.82971191406
"1277",1364.19995117188,1371.90002441406,1330,1334.90002441406,1597380,1333.35571289062
"1278",1335.69995117188,1360,1334.90002441406,1343.90002441406,1134472,1342.34521484375
"1279",1375,1385.94995117188,1337.19995117188,1343.55004882812,3267851,1341.99572753906
"1280",1357,1364.44995117188,1346.09997558594,1355.34997558594,1199487,1353.78198242188
"1281",1357.25,1399.44995117188,1357.25,1380.80004882812,2466703,1379.20263671875
"1282",1375,1383.80004882812,1357.90002441406,1380.80004882812,1557533,1379.20263671875
"1283",1378,1378.94995117188,1350,1352.55004882812,1545024,1350.9853515625
"1284",1340,1342,1321.05004882812,1328.84997558594,1389890,1327.31262207031
"1285",1326,1341.19995117188,1291.90002441406,1295.69995117188,1668502,1294.20092773438
"1286",1300,1302.30004882812,1269,1280.55004882812,2060607,1279.06860351562
"1287",1290,1309.69995117188,1278,1282.59997558594,1376141,1281.1162109375
"1288",1285.5,1304,1270.55004882812,1293.59997558594,1539281,1292.10339355469
"1289",1304.94995117188,1316.30004882812,1293,1301.75,1332869,1300.24401855469
"1290",1305,1307.94995117188,1231,1245.40002441406,3970911,1243.95922851562
"1291",1259,1271.5,1248.59997558594,1268.09997558594,2333183,1266.63293457031
"1292",1271,1314.94995117188,1270.55004882812,1294.55004882812,2884348,1293.05236816406
"1293",1291.94995117188,1310.5,1278.30004882812,1290,1947186,1288.50769042969
"1294",1281.30004882812,1290,1236.19995117188,1240.65002441406,2676573,1239.21472167969
"1295",1245,1251.59997558594,1226.65002441406,1239.09997558594,1553877,1237.66638183594
