"","INDHOTEL.NS.Open","INDHOTEL.NS.High","INDHOTEL.NS.Low","INDHOTEL.NS.Close","INDHOTEL.NS.Volume","INDHOTEL.NS.Adjusted"
"684",93.8641204833984,94.9307556152344,91.149040222168,92.1671905517578,1440278,91.2142028808594
"685",91.7793273925781,92.8459625244141,91.149040222168,91.5369110107422,832507,90.5904388427734
"686",91.149040222168,94.0095672607422,90.6642074584961,93.08837890625,2464767,92.125862121582
"687",93.2338333129883,93.7671508789062,90.1793670654297,90.5672378540039,792504,89.6307907104492
"688",90.5672378540039,95.5125579833984,90.5672378540039,94.203498840332,1433900,93.2294540405273
"689",94.8822708129883,94.8822708129883,93.2823181152344,94.1550216674805,4027800,93.1814804077148
"690",93.2823181152344,96.6276779174805,92.8459625244141,95.1731719970703,1106559,94.1891021728516
"691",95.6580047607422,97.9367370605469,95.1731719970703,97.3549346923828,1714718,96.3483047485352
"692",96.6761627197266,97.7912826538086,95.6095275878906,97.3549346923828,2011863,96.3483047485352
"693",98.3730850219727,99.7791061401367,96.6276779174805,97.5003814697266,2551184,96.4922485351562
"694",97.9367370605469,98.6155014038086,94.0580520629883,94.6398544311523,6185943,93.6613006591797
"695",94.7853012084961,94.8822708129883,92.797477722168,94.4459228515625,8245282,93.469367980957
"696",94.8337860107422,96.3852615356445,93.4762496948242,94.5913696289062,763218,93.6133117675781
"697",93.1368637084961,94.4944076538086,93.08837890625,93.9610824584961,557118,92.9895553588867
"698",94.2519836425781,94.5428848266602,92.1187133789062,92.5065765380859,633671,91.5500793457031
"699",92.5065765380859,93.0399017333984,88.7248611450195,89.4036331176758,4789362,88.4792175292969
"700",90.1793670654297,93.7671508789062,90.1793670654297,93.379280090332,1527381,92.4137573242188
"701",92.6520309448242,94.6398544311523,92.2156753540039,93.6701812744141,707492,92.7016525268555
"702",93.4277648925781,96.4337463378906,92.1187133789062,95.9004287719727,1838986,94.9088363647461
"703",96.9185791015625,97.3549346923828,95.0277252197266,95.5610427856445,1250456,94.5729598999023
"704",96.7731323242188,96.9670639038086,93.7671508789062,96.4337463378906,1185395,95.436637878418
"705",105.209266662598,112.869659423828,101.815414428711,110.25154876709,19249885,109.111572265625
"706",110.0576171875,110.0576171875,103.754760742188,105.209266662598,3471473,104.121429443359
"707",106.809219360352,110.445487976074,105.742584228516,108.554626464844,3202117,107.432189941406
"708",108.990982055664,109.475814819336,106.663772583008,107.827377319336,758745,106.712463378906
