"","MPHASIS.NS.Open","MPHASIS.NS.High","MPHASIS.NS.Low","MPHASIS.NS.Close","MPHASIS.NS.Volume","MPHASIS.NS.Adjusted"
"262",875.5,875.5,863.099975585938,871.200012207031,185590,751.914001464844
"263",868.099975585938,904.5,868.099975585938,897.950012207031,442978,775.001281738281
"264",899.950012207031,925,899,921.25,522968,795.111083984375
"265",922,934.900024414062,901,920.900024414062,561635,794.809020996094
"266",915,945.900024414062,901,940.950012207031,326801,812.113708496094
"267",935,979,935,972.799987792969,580973,839.602783203125
"268",980,1016,978,1011.20001220703,872640,872.744934082031
"269",1010.90002441406,1027.69995117188,981.150024414062,1002.65002441406,631600,865.365661621094
"270",997.049987792969,1023.90002441406,994.5,1009.75,236768,871.493469238281
"271",1014,1024.80004882812,1000.20001220703,1016.54998779297,124350,877.362487792969
"272",1020,1041.80004882812,1004.15002441406,1017.75,436062,878.398193359375
"273",1022,1042,1015,1026.34997558594,232767,885.820617675781
"274",1029.90002441406,1030,1010.04998779297,1022.90002441406,126029,882.843017578125
"275",1012.09997558594,1028,1012.09997558594,1019.75,131556,880.124267578125
"276",1019.75,1024,987.349975585938,996.650024414062,240162,860.187194824219
"277",996.700012207031,1024.94995117188,992.25,1021.25,167643,881.4189453125
"278",1032.59997558594,1051,1029.34997558594,1048.65002441406,289882,905.067321777344
"279",1050,1063,1040,1053.75,332370,909.468994140625
"280",1044,1051.84997558594,1033.25,1041.19995117188,114685,898.637268066406
"281",1035.15002441406,1052.69995117188,1034.90002441406,1044.44995117188,102717,901.442260742188
"282",1044,1046.80004882812,1030.09997558594,1041.25,378680,898.680480957031
"283",1035.94995117188,1041.19995117188,1014.25,1019.25,129640,879.692687988281
"284",1013.09997558594,1024.44995117188,992,1016.20001220703,291798,877.060363769531
"285",1013.25,1032,1006.04998779297,1022.79998779297,168525,882.756652832031
"286",1013,1034.5,1003.75,1027.34997558594,91221,886.683654785156
"287",1023.20001220703,1045,1006.54998779297,1038.09997558594,171124,895.961730957031
"288",1045,1059.90002441406,1020.95001220703,1041.19995117188,184948,898.637268066406
"289",1043.55004882812,1049.5,1026,1033.25,78111,891.775817871094
"290",1027.90002441406,1027.90002441406,1005.5,1009.95001220703,377949,871.666076660156
"291",1012.25,1016.95001220703,979,990.950012207031,247656,855.267639160156
"292",989.950012207031,1003.04998779297,972.549987792969,996.599975585938,186591,860.14404296875
"293",995,999,976.5,980.75,440620,846.464233398438
"294",976.099975585938,1002.90002441406,973.549987792969,993.299987792969,268768,857.295837402344
"295",1000,1001.95001220703,983,990.75,282350,855.095031738281
"296",983,988,971.900024414062,975.700012207031,99694,842.105651855469
