"","DEEPAKNTR.NS.Open","DEEPAKNTR.NS.High","DEEPAKNTR.NS.Low","DEEPAKNTR.NS.Close","DEEPAKNTR.NS.Volume","DEEPAKNTR.NS.Adjusted"
"647",608.5,618,604,614.950012207031,706109,608.410522460938
"648",611.5,644.400024414062,605.099975585938,638.5,1786039,631.710144042969
"649",640.299987792969,665,640.299987792969,649.599975585938,1532279,642.692077636719
"650",667,779.5,654.099975585938,753.799987792969,6840655,745.783996582031
"651",795,824.549987792969,727,744.349975585938,7372732,736.434509277344
"652",745,772,737.5,742.450012207031,1860077,734.5546875
"653",745,775,732,761.950012207031,2271101,753.847290039062
"654",765,768,745.099975585938,747.799987792969,868742,739.847778320312
"655",749.900024414062,752.849975585938,663,683.450012207031,2779198,676.182067871094
"656",690.200012207031,712.849975585938,671.150024414062,702,1375451,694.534912109375
"657",706.599975585938,746.799987792969,700.099975585938,731.450012207031,1442889,723.671691894531
"658",736.150024414062,761.099975585938,731.450012207031,736.849975585938,901586,729.014221191406
"659",720.900024414062,758.900024414062,705,732.450012207031,1854432,724.661010742188
"660",735,747,712.099975585938,717.099975585938,792038,709.474304199219
"661",720.099975585938,757,712.5,742,1250612,734.109436035156
"662",728.099975585938,741.799987792969,713.5,730.75,895720,722.979125976562
"663",738.5,755.700012207031,736,751.599975585938,887096,743.607299804688
"664",757.849975585938,769.75,727,733.150024414062,1432728,725.353637695312
"665",755,801.799987792969,753.599975585938,795.599975585938,2988274,787.139526367188
"666",804.799987792969,866.349975585938,792,857.299987792969,3657998,848.183288574219
"667",864.400024414062,864.400024414062,819,857.25,2824763,848.133850097656
"668",853,871,840.450012207031,847.400024414062,1765811,838.388671875
"669",851,888,816,853.849975585938,3846077,844.77001953125
"670",856,867.450012207031,804.400024414062,812.799987792969,2901933,804.156616210938
"671",822,854.900024414062,777,848.150024414062,2903928,839.130676269531
"672",860,873.5,830,844.099975585938,1969793,835.123657226562
"673",828,835,785.25,799.950012207031,1385736,791.443176269531
"674",815.799987792969,825.450012207031,791.150024414062,801.150024414062,1528896,792.630493164062
"675",809,844,806,838.549987792969,1437928,829.6328125
"676",846,846.799987792969,815.599975585938,823.700012207031,855988,814.940734863281
"677",827,839.5,816.549987792969,821.200012207031,771875,812.467224121094
"678",829,833.900024414062,815,819.400024414062,570074,810.686401367188
"679",825.950012207031,826,802,808.299987792969,624193,799.704467773438
"680",812.349975585938,818.700012207031,802.599975585938,805,638209,796.439453125
"681",804,804,785.5,796.450012207031,663978,787.98046875
"682",796.450012207031,797.950012207031,756.299987792969,760.150024414062,1879636,752.066528320312
"683",762.5,776.75,760.599975585938,763.450012207031,793052,755.331481933594
"684",767.299987792969,767.299987792969,726,734.299987792969,1107166,726.491455078125
"685",738,758,730.5,735.700012207031,823905,727.87646484375
"686",735.950012207031,759,723.099975585938,754.150024414062,1469904,746.130310058594
"687",758.950012207031,760.450012207031,723.400024414062,726.349975585938,834155,718.625854492188
"688",730,733.700012207031,708.099975585938,718.5,983097,710.859375
"689",722.799987792969,729.799987792969,708.099975585938,709.900024414062,507760,702.350891113281
"690",708,736,702.099975585938,708.849975585938,1289063,701.31201171875
"691",714.799987792969,724.799987792969,705,720.799987792969,729096,713.134887695312
"692",719.5,742.099975585938,712,731.349975585938,725619,723.572692871094
"693",740,745.599975585938,717.099975585938,720.5,605363,712.838134765625
"694",722.25,726.900024414062,708,713.799987792969,481360,706.209350585938
"695",711,749.900024414062,703.75,745.099975585938,965632,737.176574707031
"696",747.950012207031,775.950012207031,737.849975585938,757.75,1362203,749.692016601562
"697",754.75,758,736.200012207031,739.599975585938,782657,731.734924316406
"698",743,759.450012207031,738,742.25,639511,734.356872558594
"699",734,743.700012207031,715,718.299987792969,689305,710.661499023438
"700",725,733,715.5,719,355297,711.354064941406
"701",718.5,723.900024414062,705.650024414062,711.549987792969,522012,703.983215332031
"702",721,757.799987792969,715.549987792969,751.849975585938,1179674,743.854675292969
"703",756.799987792969,771.900024414062,751.799987792969,762,958589,753.896789550781
"704",772.75,781.400024414062,751.099975585938,777.900024414062,861247,769.627746582031
"705",783,798.5,775.049987792969,785.049987792969,979394,776.70166015625
"706",784,799,776,796.5,734653,788.029907226562
"707",789.400024414062,841.099975585938,786.700012207031,819.450012207031,1858680,810.735900878906
"708",819.450012207031,831.950012207031,817,824.849975585938,512652,816.078491210938
"709",828.950012207031,831.299987792969,811,822.5,175888,813.753479003906
"710",822,825.849975585938,800.5,803.150024414062,622246,794.609252929688
"711",800,810.650024414062,781.849975585938,806.5,724473,797.923645019531
"712",802,824.650024414062,793.400024414062,802.200012207031,868567,793.669311523438
"713",801,820,801,811.200012207031,687068,802.573669433594
"714",814,831,808.099975585938,818.049987792969,901521,809.350769042969
"715",821.950012207031,823.400024414062,805,807.900024414062,389194,799.308654785156
