"","APOLLOTYRE.NS.Open","APOLLOTYRE.NS.High","APOLLOTYRE.NS.Low","APOLLOTYRE.NS.Close","APOLLOTYRE.NS.Volume","APOLLOTYRE.NS.Adjusted"
"486",163.100006103516,164.100006103516,161,161.199996948242,1305674,150.86376953125
"487",162.100006103516,164.5,161.649993896484,163.649993896484,1076433,153.156692504883
"488",164.550003051758,166.5,164.25,165,1581502,154.420120239258
"489",165.050003051758,165.649993896484,163.5,163.899993896484,770298,153.390670776367
"490",164.5,164.949996948242,163,163.350006103516,642850,152.875930786133
"491",163.699996948242,170.899993896484,163.350006103516,170.350006103516,2954927,159.42707824707
"492",169.800003051758,169.800003051758,164,165.149993896484,2231107,154.560516357422
"493",164.550003051758,164.550003051758,160,160.5,2420889,150.20866394043
"494",162.5,165.399993896484,158.449996948242,161.25,2654726,150.910583496094
"495",159.800003051758,162.850006103516,159,162.399993896484,1664694,151.986831665039
"496",164.550003051758,166.899993896484,163.100006103516,165.350006103516,2997881,154.747695922852
"497",165.350006103516,169.5,165.25,168.649993896484,2799088,157.836090087891
"498",169.399993896484,171,168.050003051758,170.550003051758,2525447,159.6142578125
"499",171.5,175.5,171.050003051758,173.649993896484,3906967,162.515472412109
"500",174.300003051758,176.649993896484,172.699996948242,176,1980997,164.714813232422
"501",175.949996948242,177.100006103516,174.149993896484,176,1625739,164.714813232422
"502",177,182.350006103516,176.850006103516,180,6393789,168.45832824707
"503",180,180.199996948242,173.149993896484,174,2284994,162.843048095703
"504",173.300003051758,175.800003051758,171.949996948242,174.850006103516,1515394,163.638549804688
"505",175.5,175.5,173.350006103516,174.25,1035978,163.077011108398
"506",175.550003051758,177.199996948242,174.699996948242,175.149993896484,2318536,163.919296264648
"507",175.5,178.850006103516,174.75,177.5,1495711,166.118637084961
"508",177,178.350006103516,174.050003051758,174.75,1465065,163.544937133789
"509",175.25,177.050003051758,172.850006103516,173.899993896484,1206153,162.749450683594
"510",174.550003051758,175.800003051758,173.5,174.199996948242,1067364,163.030227661133
"511",175,175.5,170.100006103516,171.449996948242,1195534,160.456558227539
"512",172,172.300003051758,165.5,166.5,2059074,155.823959350586
"513",164.25,170.699996948242,159.600006103516,161.050003051758,3345011,150.723403930664
"514",163.5,165.149993896484,160.5,161.550003051758,3108857,151.191345214844
"515",162.550003051758,169.600006103516,161.5,168.399993896484,12937250,157.602111816406
"516",169.899993896484,170.800003051758,163.199996948242,165.100006103516,5431485,154.513717651367
"517",165.100006103516,166.699996948242,163.5,164,2268574,153.484237670898
"518",163.600006103516,164.449996948242,159.649993896484,162.100006103516,3784007,151.706085205078
"519",163.199996948242,164.5,160.75,161.399993896484,1568825,151.050964355469
"520",161.699996948242,162.699996948242,160.25,161.949996948242,1714945,151.565689086914
"521",162.100006103516,162.550003051758,160,161.25,1501341,150.910583496094
"522",161.800003051758,163.25,158.300003051758,159.050003051758,1605188,148.851638793945
"523",159.300003051758,159.300003051758,153.350006103516,154.449996948242,2621877,144.546600341797
"524",154.899993896484,154.899993896484,150.350006103516,151.350006103516,3980792,141.645370483398
"525",152.100006103516,153.149993896484,150.350006103516,150.800003051758,3867262,141.130645751953
"526",150.600006103516,159.199996948242,149.75,158,6419252,147.86897277832
"527",157.949996948242,157.949996948242,151.5,151.949996948242,2427071,142.206893920898
"528",152.899993896484,155.699996948242,150.300003051758,154.399993896484,2419330,144.499801635742
"529",153.699996948242,158,146.399993896484,148.699996948242,8017307,139.165298461914
"530",149.550003051758,151.699996948242,145.5,150.300003051758,5186981,140.662704467773
"531",146,147,141,142.800003051758,6020812,133.643585205078
"532",145,145.800003051758,134.550003051758,136.300003051758,7509876,127.56037902832
"533",138,142.899993896484,136.550003051758,141.75,4006039,132.660934448242
