"","JKCEMENT.NS.Open","JKCEMENT.NS.High","JKCEMENT.NS.Low","JKCEMENT.NS.Close","JKCEMENT.NS.Volume","JKCEMENT.NS.Adjusted"
"1301",2960,2962,2910.05004882812,2920.75,52013,2897.02880859375
"1302",2920,2950.80004882812,2895,2935.05004882812,55172,2911.212890625
"1303",2947.85009765625,2960.30004882812,2920.5,2943.55004882812,44611,2919.64379882812
"1304",2945,3014.55004882812,2944.89990234375,2977.05004882812,163158,2952.87158203125
"1305",2977.05004882812,2980,2931,2966.39990234375,55932,2942.30810546875
"1306",2976,3006.80004882812,2954,2996.35009765625,94234,2972.01489257812
"1307",3016.64990234375,3029.89990234375,2968.05004882812,3009.75,159596,2985.30590820312
"1308",3009.75,3036.94995117188,2985,3029.55004882812,136816,3004.9453125
"1309",3029.89990234375,3029.89990234375,2926.05004882812,2943.75,46643,2919.84204101562
"1310",2946.89990234375,2956.69995117188,2850.14990234375,2864.5,112846,2841.23583984375
"1311",2875.10009765625,2938.64990234375,2875.10009765625,2891.39990234375,72324,2867.91723632812
"1312",2903.89990234375,2940,2890.19995117188,2918.05004882812,70081,2894.35083007812
"1313",2912,2935.94995117188,2905,2924.69995117188,37414,2900.94677734375
"1314",2920,2954.85009765625,2909.69995117188,2924.89990234375,97304,2901.14501953125
"1315",2938,3000,2922,2993.30004882812,106460,2968.98974609375
"1316",2994.94995117188,3024.69995117188,2960.85009765625,2976.69995117188,84275,2952.5244140625
"1317",2976.69995117188,3010,2965.05004882812,2989.75,49335,2965.46850585938
"1318",2992,3052,2992,3023.55004882812,98333,2998.994140625
"1319",3035,3069.5,2991.39990234375,3002.85009765625,86506,2978.46215820312
"1320",3015,3060,2995,3051.10009765625,117607,3026.3203125
"1321",3059.94995117188,3093,2990.05004882812,3003.60009765625,113492,2979.2060546875
"1322",3024,3037.5,2982.10009765625,2990.75,62125,2966.46044921875
"1323",2995,3074.69995117188,2994.64990234375,3067.39990234375,86466,3042.48779296875
"1324",3079,3095,3042,3052.69995117188,79506,3027.9072265625
"1325",3065.14990234375,3089.80004882812,3028.30004882812,3042.25,66799,3017.54223632812
"1326",3058.30004882812,3063.64990234375,3030,3047.25,53875,3022.50146484375
"1327",3040.05004882812,3082.44995117188,3025,3044.35009765625,62729,3019.625
"1328",3044.35009765625,3065.55004882812,3005,3017.35009765625,103911,2992.84448242188
"1329",3000.14990234375,3027.75,2950.05004882812,3023.10009765625,161094,2998.5478515625
"1330",3020,3021.05004882812,2953.94995117188,2979.5,109421,2955.3017578125
"1331",2965,3014.85009765625,2925.89990234375,2936.69995117188,142032,2912.84936523438
"1332",2936.10009765625,2949.5,2893,2941.75,85250,2917.85815429688
"1333",2956,2981.89990234375,2900.05004882812,2973.55004882812,93719,2949.40014648438
"1334",2955,3036.80004882812,2955,3007.69995117188,56267,2983.27270507812
"1335",3020,3113.64990234375,2988.75,3103.55004882812,207748,3078.34448242188
"1336",3120.75,3290,3098,3177.69995117188,509098,3151.89184570312
"1337",3157.55004882812,3235.19995117188,3133,3208.30004882812,140790,3182.24340820312
"1338",3208.35009765625,3228,3198.14990234375,3210.05004882812,56807,3183.97924804688
"1339",3210.05004882812,3228.94995117188,3175.85009765625,3180.60009765625,122236,3154.7685546875
"1340",3182.05004882812,3220,3173.75,3208.39990234375,190409,3182.34252929688
