"","PIDILITIND.NS.Open","PIDILITIND.NS.High","PIDILITIND.NS.Low","PIDILITIND.NS.Close","PIDILITIND.NS.Volume","PIDILITIND.NS.Adjusted"
"362",1227,1232.40002441406,1215.15002441406,1226.30004882812,201599,1193.78894042969
"363",1225,1241.05004882812,1221,1233.55004882812,365236,1200.8466796875
"364",1228,1240,1215.30004882812,1226,654584,1193.49694824219
"365",1224.25,1232,1216.80004882812,1223.15002441406,583606,1190.72253417969
"366",1226,1231.84997558594,1209.09997558594,1214.44995117188,453474,1182.2529296875
"367",1217,1222,1199.55004882812,1206.44995117188,385209,1174.46508789062
"368",1212,1216.25,1201.15002441406,1210,625099,1177.92102050781
"369",1216.30004882812,1226,1214.25,1220.94995117188,526010,1188.58068847656
"370",1220,1242.19995117188,1220,1226.84997558594,755871,1194.32434082031
"371",1229.5,1238.5,1200.05004882812,1206.25,785473,1174.27038574219
"372",1205,1205,1180,1199.59997558594,248508,1167.79675292969
"373",1200,1200,1168.09997558594,1177.75,419030,1146.52612304688
"374",1178.25,1187.75,1173,1183.25,195181,1151.88012695312
"375",1184.05004882812,1194,1173.69995117188,1187.30004882812,308722,1155.82287597656
"376",1184.15002441406,1194.5,1179.80004882812,1185.25,170431,1153.82702636719
"377",1186,1207.94995117188,1180.55004882812,1201.80004882812,372252,1169.93859863281
"378",1201,1226,1192.05004882812,1218,292887,1185.708984375
"379",1225,1239.90002441406,1225,1229.25,499648,1196.66064453125
"380",1229,1235.5,1216.19995117188,1227.84997558594,531894,1195.29797363281
"381",1229,1230.40002441406,1192.05004882812,1195.34997558594,468517,1163.65942382812
"382",1189.34997558594,1200.34997558594,1176,1198.19995117188,238547,1166.43383789062
"383",1204,1211,1188,1206.44995117188,381708,1174.46508789062
"384",1206.25,1249,1182.5,1232.75,629591,1200.06799316406
"385",1238,1244.25,1220,1234.55004882812,529053,1201.82019042969
"386",1234,1254,1226,1243.90002441406,641034,1210.92236328125
"387",1238.90002441406,1246.19995117188,1223.55004882812,1240.69995117188,340985,1214.15161132812
"388",1244,1250.80004882812,1225,1228.69995117188,517788,1202.40844726562
"389",1232.94995117188,1245,1215.84997558594,1240.59997558594,524318,1214.0537109375
"390",1243.44995117188,1244.5,1198.34997558594,1211.40002441406,743010,1185.47863769531
